,sta0_datasz,sta1_datasz,sta3_datasz,sta2_datasz,sta5_datasz,sta7_datasz,sta4_datasz,sta8_datasz,sta6_datasz,sta10_datasz,sta9_datasz,T,host_consumption_sta4,training_time_sta4,host_consumption_sta0,training_time_sta0,host_consumption_sta3,training_time_sta3,host_consumption_sta10,training_time_sta10,host_consumption_sta7,training_time_sta7,host_consumption_sta2,training_time_sta2,host_consumption_sta5,training_time_sta5,host_consumption_sta1,training_time_sta1,consumption_sta4,consumption_sta10,consumption_sta8,consumption_sta2,consumption_sta9,consumption_sta6,consumption_sta0,consumption_sta5,consumption_sta3,consumption_sta1,consumption_sta7,mean_acc,host_consumption_sta8,training_time_sta8,host_consumption_sta9,training_time_sta9,host_consumption_sta6,training_time_sta6
0,747088320.0,684321792.0,1047438528.0,1128383616.0,1135301568.0,1026684672.0,436285440.0,352361088.0,995528640.0,748350720.0,1102428672.0,3.472393804385161e-08,85826562.0,0.82584547996521,125597884.0,1.1969375610351562,161678785.0,1.5257213115692139,155734770.0,1.4249844551086426,161191726.0,1.5013630390167236,169856682.0,1.6417524814605713,169717705.0,1.6434202194213867,131383697.0,1.2248616218566895,792.005777093242,780.2910154385778,783.5837334123348,1067.8321511147803,799.7858698478624,878.5160523611039,1068.7996815474714,849.137141768226,845.9190311635277,1122.8021646254274,839.6563212632168,0.6113929091529413,,,,,,
1,,,,,,,,,,,,6.403561154457826e-08,79579081.0,0.7696318626403809,104020120.0,1.0219392776489258,138068494.0,1.3907792568206787,,,177358616.0,2.1206533908843994,154705171.0,1.652367115020752,179925504.0,2.163642168045044,96983516.0,0.9479799270629883,1345.6763423479808,1255.34799501255,1204.4108599177828,1550.2870127345043,1215.9414961307264,1322.9841821269108,1421.2840636902056,1321.953402048981,1308.2185814673262,1510.6252169132179,1353.2597698473471,0.14861259338530627,110545005.0,1.026608943939209,164097236.0,1.8393263816833496,179055083.0,2.1504693031311035
2,,,,,,,,,,,,4.630192572702611e-08,70642947.0,0.7337493896484375,142947449.0,1.5382483005523682,161160354.0,1.9572701454162598,,,133680932.0,1.3405768871307373,136748002.0,1.42655348777771,162657604.0,2.007479429244995,141182072.0,1.497358798980713,1789.7541626466768,1537.358918932894,1421.0101764190797,1834.6121983729058,1535.4080683848827,1661.708914197813,1634.728460789711,1629.1725205051462,1696.2689531582932,1725.8839999238612,1622.7996090723625,0.3799516443501819,66679029.0,0.6522188186645508,155153778.0,1.8444743156433105,150578838.0,1.6840808391571045
3,,,,,,,,,,,,4.477466484034512e-08,70508608.0,0.6817784309387207,157162745.0,1.4818155765533447,162432567.0,1.503061056137085,150654217.0,1.3296482563018799,154864166.0,1.3920197486877441,170719350.0,1.6638851165771484,165584293.0,1.5450994968414307,111827473.0,1.0680620670318604,2052.344586157121,1948.8563402385807,1789.1696379631599,2121.152151060259,1961.4978623093275,1882.21795686062,1922.661867661124,1811.8172441851204,1872.0341068917262,1867.2311762029985,1786.5495007415614,0.48956954750147735,82056674.0,0.738900899887085,,,148948532.0,1.3446016311645508
4,,,,,,,,,,,,6.81011137776479e-08,88390459.0,0.8074426651000977,124028186.0,1.1479649543762207,171852466.0,1.515226125717163,176669164.0,1.5373256206512451,176359412.0,1.5242383480072021,183573870.0,1.6414763927459717,190091677.0,1.7249698638916016,171934313.0,1.538642406463623,2506.522475322052,2402.897089109355,2130.3225689791607,2517.7819562300638,2292.2979510172354,2281.102938037557,2080.4967294649546,2189.669976428614,2183.718772800379,2099.957799429637,2144.172179379418,0.6314469900998202,101234665.0,0.880143404006958,196759262.0,2.0082974433898926,170781057.0,1.477543830871582
5,,,,,,,,,,,,5.7336578009722486e-08,61903528.0,0.6419270038604736,85071438.0,0.9211370944976807,140602057.0,1.945451259613037,,,110260338.0,1.2289235591888428,,,138535168.0,1.8902013301849365,122650321.0,1.4738647937774658,2942.476709853435,2708.5054152597822,2395.5819172482193,3008.5392325964276,2578.6974124916596,2719.8342575258416,2475.3104818691745,2579.4672913772715,2586.0515286361233,2401.465647220316,2397.60632901948,0.734859125180678,62138025.0,0.6120991706848145,129884799.0,1.702314853668213,126819988.0,1.5859529972076416
6,,,,,,,,,,,,6.237002920757443e-08,78954937.0,0.748225212097168,106090366.0,1.019885540008545,150468426.0,1.4471971988677979,,,175970375.0,2.007188320159912,163549875.0,1.684699535369873,177206943.0,2.0189619064331055,154545564.0,1.5084047317504883,3328.357634800459,3342.9108556474903,2948.441089804833,3408.2631545039512,3134.4210012747844,3010.6729940507994,2837.822030292452,2867.845847254305,2836.789610379361,2633.6810024076453,2915.608469704792,0.8149576078761708,72671811.0,0.651425838470459,166232180.0,1.8015925884246826,145484430.0,1.369755506515503
7,,,,,,,,,,,,6.56440676299092e-08,80178017.0,0.7133700847625732,160775894.0,1.4788951873779297,152716284.0,1.354013204574585,148842392.0,1.2860305309295654,153204076.0,1.332737684249878,167021667.0,1.6210331916809082,178758820.0,2.030921697616577,108934719.0,0.9847018718719482,3760.285518577784,3626.2282578268205,3166.130458528494,3867.852644009288,3401.5645351525304,3244.141837714542,3232.948187154757,3177.1415888353745,3198.1393541092475,2931.394233202982,3079.8474614467373,0.8435117223046043,77850753.0,0.6580345630645752,,,151653542.0,1.3153681755065918
8,,,,,,,,,,,,6.5756917766987e-08,87242453.0,0.7756764888763428,111928974.0,1.0207173824310303,156721828.0,1.4011852741241455,,,185676100.0,2.046433687210083,164513739.0,1.4891905784606934,163872566.0,1.4619309902191162,162159069.0,1.4753451347351074,4020.0263473811624,4020.791818044767,3535.5788790803067,4259.132443620241,3809.592541879999,3732.946596478111,3501.79115744964,3365.6459292366717,3579.0820649664943,3261.8184776176895,3321.5699402134655,0.8631855520335111,82082737.0,0.6954648494720459,175431252.0,1.7867307662963867,174999980.0,1.715921401977539
9,,,,,,,,,,,,6.645078260785081e-08,73693842.0,0.6803293228149414,113065568.0,1.0486810207366943,171673327.0,1.9032437801361084,136356218.0,1.229797601699829,173677351.0,1.9964206218719482,153688328.0,1.4668684005737305,175447488.0,2.015355110168457,104898596.0,0.9668748378753662,4620.753303569508,4420.880683261896,3916.7341242836046,4606.80091526984,4243.823434165782,4093.4449424678464,3884.207632699626,3874.785975113065,3870.6871370246167,3464.5872197513945,3615.4360255740958,0.8754985603419217,87824482.0,0.7592465877532959,,,148575304.0,1.3796491622924805
