,sta0_datasz,sta1_datasz,sta2_datasz,sta5_datasz,sta4_datasz,sta3_datasz,sta10_datasz,sta6_datasz,sta8_datasz,sta7_datasz,sta9_datasz,T,host_consumption_sta4,training_time_sta4,host_consumption_sta1,training_time_sta1,host_consumption_sta0,training_time_sta0,host_consumption_sta6,training_time_sta6,host_consumption_sta7,training_time_sta7,consumption_sta4,consumption_sta8,consumption_sta10,consumption_sta2,consumption_sta9,consumption_sta6,consumption_sta0,consumption_sta1,consumption_sta5,consumption_sta3,consumption_sta7,mean_acc,host_consumption_sta8,training_time_sta8,host_consumption_sta2,training_time_sta2,host_consumption_sta3,training_time_sta3,host_consumption_sta5,training_time_sta5,host_consumption_sta9,training_time_sta9,host_consumption_sta10,training_time_sta10
0,747088320.0,684321792.0,1128383616.0,1135301568.0,436285440.0,1047438528.0,748350720.0,995528640.0,352361088.0,1026684672.0,1102428672.0,3.785704419186564e-08,63649068.0,0.7660117149353027,77838302.0,0.9239952564239502,84085417.0,1.0227723121643066,98984305.0,1.3058207035064697,98796805.0,1.3036184310913086,865.7100679057465,794.9781727914742,799.1867970580439,1035.8532732447843,791.6944586430066,789.938515504914,897.09103303919,1042.9124016471633,861.561394286495,1023.5772396714531,744.7457034891443,0.4188255559314381,,,,,,,,,,,,
1,,,,,,,,,,,,4.278028899156948e-08,39765646.0,0.5809366703033447,68643929.0,1.2405662536621094,52501391.0,0.7926337718963623,,,,,1340.303751248894,1194.9643500687482,1109.0061179519432,1332.38190415933,1208.415109587729,1308.7246750162476,1174.7539190651362,1325.6929389970123,1272.9500666784236,1287.860685226754,1222.4626891565858,0.2094340974634344,49369320.0,0.7100648880004883,79473124.0,1.637509822845459,,,,,,,,
2,,,,,,,,,,,,4.245727689596569e-08,42613294.0,0.4564683437347412,61754175.0,0.6966252326965332,66195082.0,0.763073205947876,75794239.0,0.9507176876068115,,,1744.923567989101,1551.0396396525098,1493.9986416513248,1801.6684737977978,1471.420257296071,1577.7226961215883,1411.6261088532235,1600.3159137820226,1504.8415925679788,1562.292142755329,1483.7259829261197,0.5129239532080564,,,,,110071007.0,2.209233283996582,,,,,,
3,,,,,,,,,,,,4.0236867251133105e-08,36923612.0,0.5937619209289551,44102365.0,0.73221755027771,64175068.0,1.380225419998169,67430796.0,1.5136780738830566,,,2161.099232897115,1890.8719442448667,1923.3800967256727,2178.064371258882,1895.7774663005507,2019.8557540381096,1801.4737414349406,1969.7768817542997,1772.829561350554,1858.8332717432754,1744.4224461592842,0.6682043725794012,,,,,,,85620631.0,2.2698729038238525,,,,
4,,,,,,,,,,,,4.221819664766334e-08,,,74022271.0,1.255849838256836,,,,,94216495.0,2.0139217376708984,2540.3296634131107,2258.5363466234626,2412.681784438516,2614.8311467210783,2379.7155451796384,2317.1052637546736,2125.0272355323286,2336.737281552327,2062.3861558024864,2118.8210384826994,2058.348684822843,0.7750543301755731,,,77290268.0,1.3460378646850586,65551224.0,1.0468087196350098,94485110.0,1.998277187347412,,,,
5,,,,,,,,,,,,8.075294995580204e-08,37663416.0,0.5324609279632568,,,,,63607931.0,0.9580378532409668,,,2886.218614610253,2557.001606759751,2760.370531010068,3001.3406148552795,2721.2684880917764,2582.814785726481,2367.753919121158,2557.165792234264,2341.2336102025247,2563.956076359031,2219.579539926752,0.8330393379384821,36131377.0,0.4791679382324219,79627421.0,1.404329776763916,86889792.0,1.7066166400909424,,,,,,
6,,,,,,,,,,,,6.7369510873757e-08,36735074.0,0.45192503929138184,88970415.0,1.2450454235076904,89020524.0,1.2455065250396729,,,77874862.0,0.9963572025299072,3290.519299830665,2940.5222703560235,3130.177724562843,3250.3739208970237,3084.9968825468095,2981.5568321911223,2593.6198552365613,2692.994565463506,2614.2239805601957,2750.013935848027,2498.484620616526,0.8621402166106484,,,85137172.0,1.1359703540802002,,,,,,,,
7,,,,,,,,,,,,8.314064051982144e-08,54562421.0,0.5415303707122803,116250557.0,1.4191341400146484,80699439.0,0.83066725730896,100986253.0,1.0226233005523682,103366678.0,1.0598907470703125,3734.724912338761,3279.9011119711427,3421.697348205845,3605.444171852961,3436.8989678338166,3248.612627576914,2771.419943281032,2914.813071765812,2893.6706278294882,3026.1189685970453,2836.798030645681,0.8806051720272411,,,,,,,108085477.0,1.1425292491912842,,,,
8,,,,,,,,,,,,1.0881194787844948e-07,46614443.0,0.5388214588165283,59954436.0,0.7151942253112793,,,79892251.0,0.9819927215576172,,,4189.586337639715,3499.3096542087383,3823.3674206042765,3975.992956477608,3701.2005110250184,3558.6832795424234,3177.2840822742646,3219.4341697028135,3277.155159156997,3299.281125092683,3059.4609227634783,0.8887736688960682,,,,,103859658.0,1.789597511291504,85585535.0,1.0908193588256836,,,,
9,,,,,,,,,,,,7.222138117452836e-08,33434240.0,0.5483715534210205,80774207.0,1.5063738822937012,81846592.0,1.5377662181854248,79550882.0,1.460036039352417,63256430.0,1.0268559455871582,4438.157736272019,3855.071960778695,4168.604828912948,4189.88197177225,4056.6183402865413,3893.864764985131,3405.451481415882,3512.814817150077,3460.953977169127,3489.282426792817,3310.5823481368097,0.8970614454962991,,,,,93275091.0,2.018512010574341,,,,,,
10,,,,,,,,,,,,5.996332824879138e-08,26304010.0,0.4677600860595703,62135583.0,1.5018067359924316,63376485.0,1.548213005065918,,,75985035.0,2.0188355445861816,4872.071707485103,4196.581471352768,4579.147782573618,4560.531076356507,4405.078115203065,4236.18968025123,3635.5400256113167,3729.8475993655748,3754.354947350537,3756.7561895252943,3653.4950606861667,0.9019479534842751,36056610.0,0.729668378829956,,,77098496.0,2.03782320022583,,,,,,
11,,,,,,,,,,,,8.367256540472054e-08,,,69532475.0,0.7434654235839844,70198429.0,0.775174617767334,,,,,5279.454766416764,4526.587042860316,4943.348933910978,4879.357341362988,4751.2597793525365,4501.854474090565,3787.700186916712,3886.091814692546,4017.263388455106,4014.696066376472,3891.8787532678652,0.9067222584377636,,,94501345.0,1.1252071857452393,90306958.0,1.0430867671966553,119024354.0,2.0232784748077393,,,,
12,,,,,,,,,,,,7.3727289760868e-08,,,59262238.0,0.6895463466644287,,,,,84081572.0,1.0184988975524902,5661.393553179832,4757.945268815971,5200.577340409804,5341.039308111264,4983.777718934484,4795.059379185181,4023.2221811935906,4156.197979351332,4337.153601659933,4431.915596734904,4147.393841785253,0.9104755845936862,45018989.0,0.48517298698425293,,,83226471.0,1.0056242942810059,106232455.0,1.7747879028320312,,,,
