[2026-07-10 12:30:55] Node: sta0 | alpha: 5.128e-09 | cpu_voltage: 0.68 | freq: [4600000.0, 4526207.0]
[2026-07-10 12:30:55] Node: sta1 | alpha: 5.06e-09 | cpu_voltage: 0.8500000000000001 | freq: [4495271.0, 4601750.0]
[2026-07-10 12:30:55] Node: sta2 | alpha: 5.08e-09 | cpu_voltage: 0.9066666666666667 | freq: [4600059.0, 1632382.0]
[2026-07-10 12:30:55] Node: sta3 | alpha: 5.185e-09 | cpu_voltage: 1.02 | freq: [4600058.0, 4601915.0]
[2026-07-10 12:30:56] Node: sta4 | alpha: 5.133e-09 | cpu_voltage: 1.02 | freq: [4600056.0, 4194988.0]
[2026-07-10 12:30:56] Node: sta5 | alpha: 5.119e-09 | cpu_voltage: 1.02 | freq: [4599942.0, 4523406.0]
[2026-07-10 12:30:56] Node: sta6 | alpha: 5.095e-09 | cpu_voltage: 1.02 | freq: [4600000.0, 4601337.0]
[2026-07-10 12:30:56] Node: sta7 | alpha: 5.056e-09 | cpu_voltage: 0.9066666666666667 | freq: [4599943.0, 2906384.0]
[2026-07-10 12:30:57] Node: sta8 | alpha: 4.879e-09 | cpu_voltage: 0.9066666666666667 | freq: [4601499.0, 4603024.0]
[2026-07-10 12:30:57] Node: sta9 | alpha: 4.795e-09 | cpu_voltage: 0.9066666666666667 | freq: [4601923.0, 4601587.0]
[2026-07-10 12:30:57] Node: sta10 | alpha: 4.912e-09 | cpu_voltage: 0.9066666666666667 | freq: [4601666.0, 3644579.0]
[2026-07-10 12:30:58] Node: sta0 | alpha: 5.128e-09 | cpu_voltage: 0.9066666666666667 | freq: [4550022.0, 3106283.5]
[2026-07-10 12:30:58] Node: sta1 | alpha: 5.06e-09 | cpu_voltage: 0.7933333333333333 | freq: [4533444.5, 4601636.5]
[2026-07-10 12:30:58] Node: sta2 | alpha: 5.08e-09 | cpu_voltage: 0.7933333333333333 | freq: [4599998.5, 3112975.5]
[2026-07-10 12:30:58] Node: sta3 | alpha: 5.185e-09 | cpu_voltage: 0.68 | freq: [4600029.0, 3610751.0]
[2026-07-10 12:30:59] Node: sta4 | alpha: 5.133e-09 | cpu_voltage: 0.68 | freq: [4600057.5, 4291212.5]
[2026-07-10 12:30:59] Node: sta5 | alpha: 5.119e-09 | cpu_voltage: 0.6833333333333332 | freq: [4600002.5, 4452082.5]
[2026-07-10 12:30:59] Node: sta6 | alpha: 5.095e-09 | cpu_voltage: 0.6866666666666666 | freq: [4531970.5, 4600063.0]
[2026-07-10 12:30:59] Node: sta7 | alpha: 5.056e-09 | cpu_voltage: 0.69 | freq: [4599997.0, 3755186.5]
[2026-07-10 12:31:00] Node: sta8 | alpha: 4.879e-09 | cpu_voltage: 0.7999999999999999 | freq: [4601396.0, 3992672.5]
[2026-07-10 12:31:00] Node: sta9 | alpha: 4.795e-09 | cpu_voltage: 0.91 | freq: [4601604.0, 4342476.0]
[2026-07-10 12:31:00] Node: sta10 | alpha: 4.912e-09 | cpu_voltage: 1.02 | freq: [4601503.0, 4124123.0]
[2026-07-10 12:31:01] Node: sta0 | alpha: 5.128e-09 | cpu_voltage: 1.02 | freq: [4477818.0, 3541058.0]
[2026-07-10 12:31:01] Node: sta1 | alpha: 5.06e-09 | cpu_voltage: 1.0166666666666666 | freq: [4555552.666666667, 4609112.666666667]
[2026-07-10 12:31:01] Node: sta2 | alpha: 5.08e-09 | cpu_voltage: 1.0166666666666666 | freq: [4556243.0, 3605224.3333333335]
[2026-07-10 12:31:02] Node: sta3 | alpha: 5.185e-09 | cpu_voltage: 1.0166666666666666 | freq: [4584505.0, 3941930.0]
[2026-07-10 12:31:02] Node: sta4 | alpha: 5.133e-09 | cpu_voltage: 1.02 | freq: [4576475.0, 4394623.333333333]
[2026-07-10 12:31:02] Node: sta5 | alpha: 5.119e-09 | cpu_voltage: 1.02 | freq: [4600032.333333333, 4500483.0]
