,sta0_datasz,sta10_datasz,sta1_datasz,sta2_datasz,sta3_datasz,sta5_datasz,sta6_datasz,sta4_datasz,sta9_datasz,sta8_datasz,sta7_datasz,host_consumption_sta8,training_time_sta8,host_consumption_sta4,training_time_sta4,host_consumption_sta10,training_time_sta10,host_consumption_sta1,training_time_sta1,host_consumption_sta0,training_time_sta0,host_consumption_sta2,training_time_sta2,host_consumption_sta6,training_time_sta6,host_consumption_sta9,training_time_sta9,host_consumption_sta7,training_time_sta7,host_consumption_sta5,training_time_sta5,host_consumption_sta3,training_time_sta3,consumption_sta4,consumption_sta8,consumption_sta10,consumption_sta2,consumption_sta9,consumption_sta6,consumption_sta5,consumption_sta0,consumption_sta3,consumption_sta7,consumption_sta1,mean_acc
0,747088320.0,748350720.0,684321792.0,1128383616.0,1047438528.0,1135301568.0,995528640.0,436285440.0,1102428672.0,352361088.0,1026684672.0,350118793,4.883533716201782,363850631,5.07251763343811,626120772,9.117836952209473,706453636,10.477154970169067,728565823,10.887913942337036,781407728,11.931292295455933,798247956,12.327375650405884,815495959,12.811652183532715,865374921,14.555328607559204,867388160,14.632374048233032,980748954,21.19625735282898,1056.0386890005977,941.4949562302777,1101.7258696726788,1033.796212942207,1013.1336432590997,850.6217812044763,775.1977769041082,790.1835022994312,761.5977587530031,695.6848590248467,727.2347798795367,0.9142391302368857
1,,,,,,,,,,,,385370656,5.289289951324463,353573191,4.811130523681641,607655793,8.715023040771484,682840415,9.993509769439697,711136424,10.498340845108032,758030225,11.451427698135376,780739822,11.997408866882324,800254116,12.542652130126953,843208596,14.064216136932373,843579810,14.076796054840088,821815584,13.239479064941406,1564.242323758978,1432.4107932217146,1639.713268367963,1657.8238006573818,1536.4058906343284,1285.9758682308923,1160.7033648199306,1158.5295526394407,1266.283321058649,1050.050064082018,1067.0418289078405,0.8151353326710787
2,,,,,,,,,,,,383884820,5.262385845184326,348592369,4.718024492263794,611505088,8.758877515792847,688288949,10.050368785858154,711222117,10.482545137405396,763094483,11.512651443481445,779078145,11.89474892616272,800739527,12.49784779548645,846710662,14.106358528137207,847135038,14.130034446716309,822459259,13.190827369689941,2234.6237580677944,1963.6598491281206,2217.7550215749234,2188.8926884933544,2082.5505626163817,1722.62090282709,1661.4560855183274,1537.9317405478291,1679.9622346471842,1419.637580382572,1407.9201668765108,0.9080030647191134
3,,,,,,,,,,,,337348257,4.542020320892334,353117565,4.757372856140137,614498244,8.779941320419312,685948073,10.014127492904663,707266805,10.429363489151001,761207341,11.464987516403198,780448441,11.925097703933716,799406156,12.474582195281982,844435216,14.068714141845703,843024575,14.016732692718506,822053071,13.193689107894897,2781.8113307986296,2507.3560747570577,2778.1182563478774,2724.9893227200214,2647.558216936047,2236.4945797704104,2082.2412544997724,1924.8752610902939,2086.8966572872982,1875.8641341719808,1753.7342553620372,0.9314364953474565
4,,,,,,,,,,,,333741150,4.500117301940918,357740356,4.823146343231201,614620619,8.758756160736084,693656244,10.134297847747803,713876041,10.498206615447998,763116088,11.448078393936157,785145695,11.981570720672607,801821678,12.446680307388306,848278529,13.989278793334961,849825400,14.046221494674683,826421163,13.238001585006714,3306.634970329983,3187.2226874601097,3492.743751225821,3264.7430372628505,3325.5018558942083,2667.9172218193494,2488.205692267068,2386.2704451373147,2519.717587179192,2269.485941816669,2097.6518982145835,0.9453586069020358
5,,,,,,,,,,,,336132624,4.563246011734009,355614568,4.829851865768433,615390759,8.815225601196289,686650891,10.008017539978027,709759047,10.428858280181885,767257252,11.544469356536865,782071362,11.908240795135498,806384410,12.577949047088623,852701919,14.150701761245728,851513201,14.105806112289429,830029003,13.317700147628784,3850.131862692873,3708.4130506564375,4070.3215588181556,3779.5757000333374,3884.217198402218,3109.1268977872282,2889.6777744459037,2754.1929621909435,2939.8367453078295,2634.4678397034922,2474.418546783005,0.9567680196328596
6,,,,,,,,,,,,336200311,4.544998407363892,356212101,4.810774326324463,612529011,8.737361192703247,691129151,10.042812824249268,716878292,10.501062154769897,768706040,11.531949758529663,783577279,11.886116027832031,803006123,12.417038202285767,851596270,14.076769828796387,852554947,14.11349606513977,830496715,13.28115463256836,4402.160422972953,4229.040618863396,4659.6749492568215,4293.373452362033,4431.746344562534,3530.5350677872752,3299.3092140215554,3134.478403028048,3363.062639120595,3003.470244437696,2909.987076058269,0.9640925797549161
7,,,,,,,,,,,,335494869,4.530156135559082,359588801,4.851504802703857,611666647,8.718221187591553,688044442,10.003403425216675,708701494,10.394777536392212,764064084,11.496822595596313,784338019,11.985832691192627,802868794,12.478939056396484,964688692,20.70645236968994,849166283,14.068401575088501,827733477,13.264434099197388,5212.643274386706,4994.887240147203,5516.450046518966,5073.968990990057,5243.256048501416,4168.3110869416205,3897.8844596500553,3686.6730710680035,3932.652689735106,3540.2822012478673,3353.1895839813164,0.9690710414539684
8,,,,,,,,,,,,329462840,4.478572607040405,356739504,4.856060028076172,614583510,8.823034286499023,689603826,10.085894346237183,712493660,10.485958099365234,764465390,11.54223346710205,784022834,12.024147033691406,800458583,12.468961477279663,848011989,14.104265689849854,848479883,14.120360136032104,823855801,13.207555055618286,5740.465153099101,5482.207520831656,6072.818799564283,5717.581505260842,5788.851563456251,4600.15374559361,4291.264922962716,4054.807752515492,4314.71308891349,3905.5262290787077,3762.923830067352,0.9719081900336526
9,,,,,,,,,,,,333309937,4.505278587341309,355781926,4.808183193206787,613724869,8.781013488769531,689681401,10.082849740982056,709957777,10.444987773895264,766285758,11.576943635940552,781955212,11.932407855987549,804006547,12.551051139831543,849867819,14.138996601104736,851408587,14.215388298034668,825048791,13.197926759719849,6367.582411680544,6013.699205362922,6650.931440233448,6247.246018002617,6343.398962531417,5027.128207155307,4802.859332402005,4422.415017851558,4822.982058712412,4293.718862264545,4108.42720523915,0.9731683785265143
10,,,,,,,,,,,,334922971,4.531444787979126,353018384,4.779794692993164,619020083,8.852709293365479,691840087,10.115474462509155,701858066,10.323797702789307,767390980,11.599469184875488,781400954,11.927107572555542,803804644,12.564632177352905,848344081,14.139008045196533,846652679,14.059776782989502,825199426,13.231036186218262,6891.707069333068,6545.754950126043,7217.473434441234,6751.553385148432,6890.017703388761,5568.702613899815,5207.444555390981,4793.76226437692,5232.276415447198,4760.088065604518,4475.6655516255205,0.9759982878511603
11,,,,,,,,,,,,337856496,4.584242820739746,355419378,4.823362827301025,609751125,8.760045289993286,688582954,10.119937658309937,706457786,10.43870735168457,761951968,11.532756805419922,779554096,11.95665168762207,799308501,12.503438472747803,844872532,14.063369512557983,845758394,14.091848373413086,824267971,13.315021514892578,7430.706175785268,7180.9927788215955,7792.741776255167,7293.004775950576,7440.864590536356,6009.23527296249,5607.562166082041,5182.364569770333,5648.701584403392,5136.939665244095,4853.570867999973,0.9767952290448275
12,,,,,,,,,,,,338218800,4.56456446647644,354128305,4.793363094329834,616949532,8.829933166503906,694543998,10.133275747299194,713325994,10.47120714187622,965378693,20.69160223007202,784349493,11.930059432983398,804968825,12.511657476425171,965778350,20.707599401474,850256124,14.069678544998169,829492688,13.263417959213257,8215.49817684522,7855.043931885909,8632.937543798314,8083.970994501063,8266.082642869662,6643.564446841806,6203.338159369356,5721.307657427,6282.744471091216,5590.42198468728,5396.711299272045,0.9779274355281483
