,sta0_datasz,sta10_datasz,sta2_datasz,sta4_datasz,sta5_datasz,sta6_datasz,sta3_datasz,sta7_datasz,sta8_datasz,sta9_datasz,sta1_datasz,host_consumption_sta8,training_time_sta8,host_consumption_sta4,training_time_sta4,host_consumption_sta10,training_time_sta10,host_consumption_sta6,training_time_sta6,host_consumption_sta9,training_time_sta9,host_consumption_sta5,training_time_sta5,host_consumption_sta7,training_time_sta7,consumption_sta4,consumption_sta8,consumption_sta10,consumption_sta9,consumption_sta0,consumption_sta2,consumption_sta6,consumption_sta1,consumption_sta5,consumption_sta7,consumption_sta3,mean_acc,host_consumption_sta1,training_time_sta1,host_consumption_sta0,training_time_sta0,host_consumption_sta3,training_time_sta3,host_consumption_sta2,training_time_sta2
0,747088320.0,748350720.0,1128383616.0,436285440.0,1135301568.0,995528640.0,1047438528.0,1026684672.0,352361088.0,1102428672.0,684321792.0,215881467.0,4.09609317779541,222760599.0,4.230801105499268,366299477.0,7.661585330963135,473474130.0,10.783087730407715,483457137.0,11.109883785247803,528522146.0,12.86154580116272,533195657,13.076364755630493,651.443278066813,598.3729304806541,669.5916318700316,674.50947885818,413.1606272019242,567.8334936346528,508.0954423167153,397.25726113464987,459.5938759129947,433.9675118740691,414.49307431125055,0.6151657009666617,,,,,,,,
1,,,,,,,,,,,,,,,,,,456232047.0,10.99189281463623,,,516839009.0,13.044184446334839,518708816,13.108752012252808,1139.8271917719667,1054.103706943666,1176.138329421029,1151.1650850479182,705.6074285187846,942.6562737755638,919.541749020129,712.2483719232752,852.2732080271031,787.3087828131191,782.7878997009108,0.5550507550889795,441997587.0,10.601754665374756,449905098.0,10.822638273239136,544396373.0,14.321418046951294,,
2,,,,,,,,,,,,,,,,,,450315254.0,10.950292348861694,,,507047592.0,12.932849645614624,509135111,13.013134479522705,1435.021219206792,1431.6481384932256,1577.326324551654,1539.1931364753784,1015.4125672272919,1269.5770864334202,1334.9366893732636,1013.5224958261963,1231.5441772171316,1136.7993925663288,1131.8631745936584,0.9119240966710177,417649565.0,10.07034182548523,429453856.0,10.361613035202026,524337769.0,13.814399003982544,,
3,,,,,,,,,,,,,,,,,,,,,,553649401.0,13.577286005020142,548268005,13.345106840133667,1791.6755367354244,1831.592614703149,1967.0333868460727,1927.0456466927276,1364.795274187964,1731.9630037199986,1664.7362935629267,1388.3750352029506,1608.8096587808968,1469.5391057594147,1514.3691495051653,0.9353940703652122,408477409.0,8.782327651977539,423753371.0,9.122387647628784,507623030.0,11.685076475143433,478561031.0,10.686742067337036
4,,,,,,,,,,,,,,,,,,,,,,461854836.0,13.485923051834106,454843379,13.219488620758057,2149.506746245266,2225.4853377107106,2336.362156555898,2310.8671095144946,1696.9355583161164,2061.5978848628806,1949.9487844097719,1689.4169253223545,1975.6512050117606,1802.9124441698707,1794.0910526898672,0.9496077190745961,354957953.0,9.853360414505005,360681877.0,10.023890495300293,466384549.0,13.686529874801636,,
5,,,,,,,,,,,,,,,,,,453249267.0,10.96937608718872,,,515194848.0,13.0206937789917,517777788,13.109690189361572,2445.9853262592974,2634.3214882389057,2755.942826826219,2720.9515056524115,2014.105926507704,2391.281003031716,2303.0408624712804,2019.2474067008632,2351.9279486038354,2145.2535949133644,2142.9493935815212,0.9615237496115945,422461381.0,10.070247173309326,429753294.0,10.254294633865356,532526164.0,13.815556049346924,,
6,,,,,,,,,,,,,,,,,,449214853.0,10.93770170211792,,,506777450.0,12.930722713470459,633228542,20.615601539611816,2897.239025371141,3164.976253676778,3287.095809959039,3224.6083736474834,2413.107706554989,2846.3228769050697,2915.73971501376,2415.562104010446,2924.907938162495,2650.1574093949803,2651.3392528163017,0.9672235738147389,415522069.0,9.976883888244629,427124639.0,10.294125080108643,522768498.0,13.698781251907349,,
7,,,,,,,,,,,,,,,,,,,,,,,,500361207,14.351202964782715,3201.4570552346895,3753.401913341268,3894.1851299650607,3855.9947673947427,2960.6589002950905,3484.248789486684,3303.448423966063,2924.5382253633175,3296.882987136823,3065.413634657311,3128.6924932538977,0.970761933109977,360438469.0,8.466091394424438,372451378.0,8.794989824295044,603724833.0,20.629523992538452,394321561.0,9.426414489746094
8,,,,,,,,,,,,,,199782936.0,3.8718831539154053,,,483458357.0,10.643418312072754,,,545383980.0,12.71347951889038,683776387,20.655210494995117,3848.296933296881,4319.533925602097,4479.636193139905,4426.2917631880655,3435.383236076395,3939.7982388561313,3846.8536731963604,3294.3801272294004,3816.681913096265,3572.305271547031,3639.2125638446782,0.9739618409763683,464429720.0,10.138723134994507,476769776.0,10.455894470214844,568967050.0,13.782418966293335,,
9,,,,,,,,,,,,,,200305395.0,3.8703665733337402,,,483369978.0,10.528899908065796,,,547806642.0,12.72096562385559,550618646,12.830409526824951,4384.985682362532,4711.917256949801,4890.546454837818,4808.165281106138,3751.8025380134795,4238.790940513405,4276.341447982973,3575.5207082589995,4211.316455909365,3925.4802778086373,3977.0710005359306,0.9769782749089327,466032926.0,10.104079246520996,476344484.0,10.34856128692627,569757086.0,13.73394250869751,,
