,sta0_datasz,sta10_datasz,sta1_datasz,sta4_datasz,sta2_datasz,sta3_datasz,sta5_datasz,sta6_datasz,sta8_datasz,sta9_datasz,sta7_datasz,host_consumption_sta8,training_time_sta8,host_consumption_sta10,training_time_sta10,host_consumption_sta6,training_time_sta6,host_consumption_sta5,training_time_sta5,host_consumption_sta7,training_time_sta7,consumption_sta4,consumption_sta8,consumption_sta10,consumption_sta9,consumption_sta2,consumption_sta6,consumption_sta5,consumption_sta7,consumption_sta0,consumption_sta1,consumption_sta3,mean_acc,host_consumption_sta1,training_time_sta1,host_consumption_sta0,training_time_sta0,host_consumption_sta3,training_time_sta3,host_consumption_sta2,training_time_sta2,host_consumption_sta4,training_time_sta4
0,747088320.0,748350720.0,684321792.0,436285440.0,1128383616.0,1047438528.0,1135301568.0,995528640.0,352361088.0,1102428672.0,1026684672.0,150856304.0,3.8696494102478027,274154999.0,7.314985513687134,379622442.0,10.859155654907227,427220647.0,12.823209047317505,430901729,12.993037223815918,556.2223579447176,591.1732451460616,601.4409310319136,685.1957066549993,626.6176202911937,503.7338891384396,460.1712585827406,409.08906605024265,420.9229223394411,400.64528375595376,396.7702829191607,0.47084714844822884,,,,,,,,,,
1,,,,,,,,,,,,,,,,447098343.0,10.935959577560425,506612228.0,12.987220525741577,509432656,13.099478721618652,910.799429209892,1028.659484556222,1047.482490467803,1108.509664093046,947.1616012730292,920.3570970043351,847.96350839405,762.0828847992026,713.9573925191563,682.4737833525862,767.1797862131212,0.599269142205065,428111270.0,10.434159517288208,447627089.0,10.963833332061768,530324021.0,14.084699392318726,,,,
2,,,,,,,,,,,,,,,,,,462944128.0,13.518193483352661,460556560,13.421609878540039,1276.681329508074,1406.889598924358,1456.4372747009918,1526.9810658458216,1256.3859201549415,1307.1193502640886,1230.7385759051326,1100.6066021320287,1031.291135078402,976.9119440849796,1027.7275691180175,0.9195497306910428,353663462.0,9.782247304916382,371891748.0,10.333214282989502,461736855.0,13.460553169250488,,,,
3,,,,,,,,,,,,,,,,,,461153971.0,13.456931352615356,458732468,13.3666512966156,1627.1389132804613,1794.4387765719252,1864.7584960361162,1913.1629291573038,1533.298135453744,1598.8064091443932,1601.2394240890324,1439.666190377147,1356.9923007473772,1200.5001407716522,1370.162272392404,0.9410848292437467,349853414.0,9.698277473449707,370402311.0,10.312881231307983,462206703.0,13.495984554290771,,,,
4,,,,,,,,,,,,,,,,,,,,506199815,14.470981121063232,1893.1039533089818,2190.539337690674,2281.229629224663,2291.3518609832668,1922.0535631760279,1872.6073126920485,1914.588220638497,1760.0990037064003,1728.4513653111885,1605.0685351370362,1753.2578348492689,0.9539169506593184,360546013.0,8.491616010665894,379002631.0,8.966294765472412,443974083.0,11.32559323310852,400968700.0,9.570927143096924,,
5,,,,,,,,,,,,,,,,587412376.0,10.871392250061035,648532093.0,12.97682237625122,653403967,13.213178157806396,2530.563612845123,2750.3671333790653,2855.131535888271,2909.8580873196847,2714.491961732068,2431.503558470345,2458.4416502380795,2288.434832811014,2265.8572781549183,2053.185155537975,2337.707957309539,0.9643885493278503,517319415.0,9.183002948760986,541669451.0,9.67854905128479,778148887.0,20.685607194900513,559695101.0,10.087918758392334,321766144.0,5.5007476806640625
6,,,,,,,,,,,,,,,,448729076.0,10.848446130752563,511036411.0,13.011049270629883,515077966,13.164850950241089,2949.5083235196985,3135.801734380418,3271.2044112813505,3320.401654196843,3150.0970310476428,2837.0320713607666,2842.2559685007272,2634.424208175995,2588.0988665820796,2331.639863410256,2678.294543720839,0.9694275639273904,414078774.0,9.930785894393921,438673377.0,10.563408851623535,525851803.0,13.693271398544312,,,,
7,,,,,,,,,,,,,,,,453785277.0,10.944576263427734,511008946.0,12.916103839874268,516573629,13.128348588943481,3256.613479834308,3588.18697025887,3706.7255537559854,3772.3337244315476,3434.682392495,3245.0548210883794,3231.721220577409,2982.651219131444,2832.017975154521,2626.661190315863,3025.404818852763,0.973521888256073,415438450.0,9.921085834503174,436277448.0,10.472637176513672,528037832.0,13.6733078956604,,,,
8,,,,,,,,,,,,,,,,451586063.0,10.89710807800293,511067540.0,12.948508262634277,516288717,13.151366949081421,3708.896189112227,4103.621436333731,4244.789773792065,4279.572352914515,3858.1725721256958,3762.9684355111826,3800.20591248118,3405.8103082462376,3309.0458838344716,3077.7311531751384,3548.97757084243,0.9766274419697848,415990146.0,9.951927185058594,436993327.0,10.47843885421753,638733960.0,20.614068269729614,,,,
9,,,,,,,,,,,,,,,,,,,,432769644,13.447019100189209,4172.307827341586,4493.520970017894,4640.8191665850745,4673.002481698548,4118.823164822718,4137.36953252456,4084.1551475865103,3724.340887005511,3629.289132289464,3371.441146862583,3890.5113797674703,0.9786903316324408,337656667.0,9.557941198348999,353532908.0,10.119592666625977,428895692.0,13.232087135314941,,,145339716.0,3.545475721359253
10,,,,,,,,,,,,,,,,,,460302777.0,13.456681728363037,459291366,13.419488191604614,4508.644561099809,4881.521076723469,5051.8759529042445,5070.444719429591,4388.63218961466,4442.762640022383,4440.732910411366,4051.1608262293457,3949.4878645333242,3671.3801190981562,4152.681899521218,0.9798418933695013,349750509.0,9.769158840179443,366630471.0,10.28370714187622,459920698.0,13.439172506332397,,,,
