[2026-07-09 17:39:12] Node: sta0 | alpha: 5.128e-09 | cpu_voltage: 1.03 | freq: [4600000.0, 4502804.0]
[2026-07-09 17:39:12] Node: sta1 | alpha: 5.06e-09 | cpu_voltage: 1.03 | freq: [4552018.0, 4600766.0]
[2026-07-09 17:39:12] Node: sta2 | alpha: 5.08e-09 | cpu_voltage: 1.03 | freq: [4534693.0, 4002497.0]
[2026-07-09 17:39:13] Node: sta3 | alpha: 5.185e-09 | cpu_voltage: 0.9133333333333334 | freq: [4600000.0, 4600083.0]
[2026-07-09 17:39:13] Node: sta4 | alpha: 5.133e-09 | cpu_voltage: 0.9133333333333334 | freq: [4600048.0, 4601640.0]
[2026-07-09 17:39:13] Node: sta5 | alpha: 5.119e-09 | cpu_voltage: 0.9133333333333334 | freq: [4181257.0, 4602363.0]
[2026-07-09 17:39:13] Node: sta6 | alpha: 5.095e-09 | cpu_voltage: 0.9133333333333334 | freq: [4578111.0, 1897301.0]
[2026-07-09 17:39:14] Node: sta7 | alpha: 5.056e-09 | cpu_voltage: 0.7966666666666667 | freq: [4438551.0, 3147749.0]
[2026-07-09 17:39:14] Node: sta8 | alpha: 4.879e-09 | cpu_voltage: 0.68 | freq: [4601405.0, 3359629.0]
[2026-07-09 17:39:14] Node: sta9 | alpha: 4.795e-09 | cpu_voltage: 0.7966666666666667 | freq: [4598908.0, 3388571.0]
[2026-07-09 17:39:14] Node: sta10 | alpha: 4.912e-09 | cpu_voltage: 0.7966666666666667 | freq: [4601408.0, 3008922.0]
[2026-07-09 17:39:15] Node: sta0 | alpha: 5.128e-09 | cpu_voltage: 0.91 | freq: [4589644.5, 4302085.0]
[2026-07-09 17:39:15] Node: sta1 | alpha: 5.06e-09 | cpu_voltage: 0.91 | freq: [4539007.5, 4601282.5]
[2026-07-09 17:39:15] Node: sta2 | alpha: 5.08e-09 | cpu_voltage: 0.91 | freq: [4567378.5, 4068431.5]
[2026-07-09 17:39:16] Node: sta3 | alpha: 5.185e-09 | cpu_voltage: 0.9133333333333334 | freq: [4600029.5, 4598923.5]
[2026-07-09 17:39:16] Node: sta4 | alpha: 5.133e-09 | cpu_voltage: 0.7966666666666667 | freq: [4600024.0, 4195557.5]
[2026-07-09 17:39:16] Node: sta5 | alpha: 5.119e-09 | cpu_voltage: 0.9133333333333334 | freq: [4240633.5, 4462135.5]
[2026-07-09 17:39:16] Node: sta6 | alpha: 5.095e-09 | cpu_voltage: 0.7966666666666667 | freq: [4589088.0, 3138775.5]
[2026-07-09 17:39:17] Node: sta7 | alpha: 5.056e-09 | cpu_voltage: 0.7966666666666667 | freq: [4519151.0, 3871222.0]
[2026-07-09 17:39:17] Node: sta8 | alpha: 4.879e-09 | cpu_voltage: 0.68 | freq: [4603109.5, 3980150.5]
[2026-07-09 17:39:17] Node: sta9 | alpha: 4.795e-09 | cpu_voltage: 0.7966666666666667 | freq: [4601767.5, 3995260.0]
[2026-07-09 17:39:17] Node: sta10 | alpha: 4.912e-09 | cpu_voltage: 0.9133333333333334 | freq: [4601410.0, 3805858.5]
[2026-07-09 17:39:18] Node: sta0 | alpha: 5.128e-09 | cpu_voltage: 1.0266666666666666 | freq: [4557258.333333333, 4301078.666666667]
[2026-07-09 17:39:18] Node: sta1 | alpha: 5.06e-09 | cpu_voltage: 1.0266666666666666 | freq: [4526005.0, 4574300.666666667]
[2026-07-09 17:39:18] Node: sta2 | alpha: 5.08e-09 | cpu_voltage: 1.0266666666666666 | freq: [4578236.666666667, 4246505.666666667]
[2026-07-09 17:39:19] Node: sta3 | alpha: 5.185e-09 | cpu_voltage: 1.03 | freq: [4600019.666666667, 4599784.333333333]
[2026-07-09 17:39:19] Node: sta4 | alpha: 5.133e-09 | cpu_voltage: 1.03 | freq: [4600016.0, 4330930.666666667]
