,sta0_datasz,sta1_datasz,sta2_datasz,sta10_datasz,sta3_datasz,sta4_datasz,sta8_datasz,sta5_datasz,sta6_datasz,sta7_datasz,sta9_datasz,host_consumption_sta10,training_time_sta10,host_consumption_sta6,training_time_sta6,host_consumption_sta5,training_time_sta5,consumption_sta4,consumption_sta0,consumption_sta1,consumption_sta8,consumption_sta10,consumption_sta2,consumption_sta3,consumption_sta7,consumption_sta9,consumption_sta6,consumption_sta5,mean_acc,host_consumption_sta0,training_time_sta0,host_consumption_sta9,training_time_sta9
0,747088320.0,684321792.0,1128383616.0,748350720.0,1047438528.0,436285440.0,352361088.0,1135301568.0,995528640.0,1026684672.0,1102428672.0,287300229.0,6.726597547531128,411634261,10.249524116516113,470386735,12.295019626617432,1384.9605728711263,1291.1433572511733,1477.1792447756832,1420.2146849032454,935.0074479378413,1458.8485518069633,1564.5849587672997,1381.211631618726,1205.5661410091748,1128.78747296859,1023.9399004257807,0.326595220037482,,,,
1,,,,,,,,,,,,359095028.0,6.998754501342773,499084355,10.1826913356781,564789509,12.34688401222229,2048.4692210505273,1956.1559845091165,2168.620705363282,2131.453220240875,1671.924609188185,2142.9355399582414,2211.928918395652,2026.4491694347425,1987.90969385567,1586.5318765316656,1444.1446707854063,0.7090030204166066,504345937.0,10.324865579605103,519843640.0,10.755343914031982
2,,,,,,,,,,,,266633839.0,6.482427597045898,375982863,9.754881858825684,436428753,11.916394233703613,2657.510431964597,2323.8529363790853,2872.173722047231,2757.040008708479,2241.1583485256406,2768.982295365581,2816.9799501860193,2614.1170841290805,2493.4424200376156,2016.5991768678477,1836.4334792459833,0.9261839443987067,,,,
3,,,,,,,,,,,,304157791.0,6.777014970779419,422797440,9.939483642578125,481201527,12.063000202178955,3456.139304240794,2721.6515244467514,3686.2480081205217,3406.729941956788,2739.5633091492637,3568.0583600694376,3586.7442471764707,3196.201088798465,3032.9999274258216,2559.50861440513,2334.4016208557287,0.9447264996441928,420363853.0,9.862215280532837,,
4,,,,,,,,,,,,366647072.0,7.037015438079834,503956900,10.210803270339966,566664809,12.387699365615845,4102.700668278667,3046.772263232539,4343.809340864052,4207.356230567511,3448.3898252433264,4173.3372308242315,4183.636588037723,3991.101533634556,3740.3296121518824,3029.2604818866826,2748.0000241028597,0.9570179635828192,485506875.0,9.759078741073608,512441010.0,10.47105360031128
5,,,,,,,,,,,,299830165.0,6.646334409713745,427561893,10.01798939704895,486217139,12.085458040237427,4706.47615354952,3474.8877157735537,5183.369342521461,4808.929571604134,4059.428160937046,4884.352623203958,5001.452687341227,4596.173090911801,4287.339104421452,3455.3028704757194,3154.883504059572,0.9657629782503302,421241414.0,9.828228235244751,,
6,,,,,,,,,,,,368631441.0,7.057665586471558,505907213,10.215501546859741,566351028,12.361799240112305,5481.2000780929675,3849.1597521558474,5741.807110266975,5609.215150163655,4644.5640121244405,5507.420697552135,5666.375315466487,5372.090604915012,4825.8372382608695,3992.099678201564,3652.5054409867985,0.971149666742845,489922757.0,9.836118221282959,513094573.0,10.432668447494507
7,,,,,,,,,,,,366559548.0,7.0468621253967285,503446038,10.194166898727417,567123121,12.392396688461304,6070.574978588434,4268.030038072253,6345.127635660613,6241.079920730403,5368.47854097546,6165.05211938676,6271.388244702722,5982.93641805751,5510.20667203772,4437.848409602937,4047.2497800571855,0.975353869524869,486887852.0,9.760660648345947,511915987.0,10.43916130065918
8,,,,,,,,,,,,365395305.0,7.013437986373901,504707693,10.20067310333252,566329666,12.383212089538574,6695.453712186879,4676.306638783368,7156.855448703722,6835.86433569567,5944.137635679191,6907.001705158458,7021.550961076685,6555.935627258232,6070.283095688423,4875.066357659238,4456.867314231597,0.9773481813344088,487909090.0,9.803818702697754,512608368.0,10.433468103408813
9,,,,,,,,,,,,370575346.0,7.05595326423645,505798265,10.151802778244019,569277168,12.358273983001709,7505.843217003087,5012.70303419045,7798.314937232125,7619.255258446833,6527.127013768023,7615.649819552305,7623.714878058899,7292.81333137976,6755.780606012968,5407.549678961416,4965.783555155285,0.9792398702014576,491271874.0,9.81340479850769,515184594.0,10.436110258102417
10,,,,,,,,,,,,304018082.0,6.702175140380859,426084602,9.953749895095825,485348856,12.046732187271118,8123.834852301468,5457.118293548549,8562.747374811117,8254.338715000677,7255.960596429306,8393.94330961408,8215.241748436469,7872.956891104103,7315.854383776175,5825.699547553663,5380.142420294146,0.9806474013762041,418715542.0,9.7421133518219,,
11,,,,,,,,,,,,369149384.0,7.029447555541992,506445663,10.217692613601685,567880931,12.348759651184082,8943.831056504943,5783.7561781178565,9165.912915398096,8895.39188976323,7844.6153305791595,9041.486562719048,8968.794233024802,8651.891581003527,7856.822805158339,6356.975618045155,5880.142178920216,0.981603129343553,488767304.0,9.764374494552612,516458883.0,10.50308084487915
12,,,,,,,,,,,,365468669.0,7.018329858779907,509101907,10.344179630279541,566128922,12.345905542373657,9546.516412850402,6206.178908150758,9866.732854730915,9671.032784953128,8573.046757036383,9614.355693423195,9621.707080830503,9270.20612590086,8509.645428854272,6782.483729266743,6288.987490784324,0.9825948747721586,488442231.0,9.787966012954712,511639803.0,10.430539846420288
13,,,,,,,,,,,,,,436477764,10.019868612289429,499360599,12.161835670471191,10288.643220892067,6584.280240430371,10691.088326608016,10267.13755006734,9114.801126021777,10356.129490319303,10404.438375601496,9862.557995860874,9042.826341090735,7219.1660231641445,6777.638998539521,0.9834614558653398,429141113.0,9.848192691802979,454667293.0,10.55496096611023
14,,,,,,,,,,,,367930637.0,7.019429683685303,508780436,10.248724222183228,568357310,12.347985982894897,10935.979351189628,6907.8766469164175,11311.54511806665,11044.045880314323,9840.201376207671,10977.63101532104,10988.959375214476,10643.21621413926,9726.1149988654,7761.795699389875,7194.043171660585,0.9843646558848295,513156585.0,10.355504274368286,516100425.0,10.448719024658203
15,,,,,,,,,,,,,,440720247,10.056651592254639,504926320,12.212223529815674,11563.327398501275,7325.893847111326,12150.977286039135,11655.972829021639,10432.201057499804,11688.018502363138,11752.610612697299,11256.263965241531,10249.59574903489,8208.29449292143,7595.436749855507,0.9847396070306952,427336614.0,9.748956203460693,460894817.0,10.626988649368286
16,,,,,,,,,,,,,,446638078,10.336889028549194,497987312,12.117371797561646,12319.905737545165,7643.806237284998,12734.498540243254,12298.232105692654,10996.912754366176,12320.43614491509,12404.369289519655,12013.339189446948,10765.960681850893,8743.169069422038,8095.465589769932,0.9849132136865095,425476694.0,9.77299976348877,454775752.0,10.563032627105713
17,,,,,,,,,,,,,,436546918,10.039571285247803,500408081,12.174626588821411,12903.24045344531,8092.628097128322,13506.191791033181,13084.176093836128,11676.600212817893,12903.983300372089,13085.971246325747,12636.871449844153,11421.902066623226,9184.08742882347,8491.057945392073,0.9856892173940485,427830020.0,9.79964804649353,453709105.0,10.547669410705566
18,,,,,,,,,,,,,,434828904,10.031379222869873,495841565,12.112404823303223,13667.201986798398,8442.237094762124,14133.944329432468,13695.038893914292,12240.66962180557,13738.08440551706,13820.419382449647,13267.615806217844,11964.37628718469,9721.208746513497,8989.14197835751,0.9859109791842374,425273875.0,9.800772190093994,455254694.0,10.639559984207153
19,,,,,,,,,,,,,,437465067,10.048447132110596,499261967,12.164427518844604,14291.025889047332,8798.042745046854,14758.48694707078,14497.716233276844,12938.588337409023,14377.312283777123,14468.711046921264,14065.919859381833,12629.924422523967,10185.549608098925,9413.703278455167,0.9865524877201427,427025396.0,9.805358648300171,453533141.0,10.560659885406494
20,,,,,,,,,,,,,,441087189,10.045031785964966,504975025,12.214771270751953,14906.627597803606,9207.763194985499,15504.885765962023,15126.154267727039,13519.985260513942,15179.35205803225,15264.374311476417,14660.530834033209,13181.51601497418,10620.74160481914,9814.960454794285,0.9874230135570873,426096260.0,9.693365335464478,455578057.0,10.466532945632935
21,,,,,,,,,,,,,,441982877,10.058074951171875,501308470,12.08188509941101,15693.922810928534,9541.891952884667,16138.353626749376,15744.265068332676,14101.8987735531,15834.089164663177,15977.59449972904,15411.69961158824,13713.11644924515,11148.991146208566,10341.746216668163,0.9878123240037398,425262095.0,9.649709701538086,457765613.0,10.519059896469116
22,,,,,,,,,,,,,,438261696,10.038169145584106,502396113,12.193067789077759,16339.383603581091,9960.83588214632,16740.380713314218,16530.554133391535,14807.138070791076,16477.29693326677,16545.68715099255,16018.409553770734,14390.545398244885,11575.637356870595,10736.0825476022,0.9880858551372181,424314404.0,9.648597955703735,454709895.0,10.524449348449707
23,,,,,,,,,,,,,,439074621,10.013054609298706,503442254,12.201319217681885,17113.301910330112,10313.413092840969,17587.49093455108,17164.501752547123,15352.264069034067,17232.87889788589,17319.30414135834,16651.490578454854,14926.254322162884,11993.6348405117,11237.711229236738,0.9887435761365023,429178162.0,9.784558773040771,457781970.0,10.551287412643433
24,,,,,,,,,,,,,,440428560,10.09274673461914,500272645,12.148173809051514,17742.514951760106,10690.15139424246,18157.883731418136,17944.72552994855,16078.153661486167,17917.14313902321,17942.85215224462,17404.89137655768,15563.552817835274,12543.485697368402,11674.860043436785,0.9892266284335743,448830638.0,10.333576202392578,456119682.0,10.569987058639526
25,,,,,,,,,,,,,,434040087,9.991302013397217,685338333,20.592639207839966,18813.52848810442,11277.653560674058,19172.17689350718,18968.25125437822,16953.814598670146,18995.459766322685,19052.39345081351,18494.797247682312,16486.61708310958,13329.708217904945,12371.866200438159,0.9888649907979098,425703805.0,9.805872201919556,455791069.0,10.62047553062439
26,,,,,,,,,,,,,,437725259,10.027575969696045,498763433,12.082275867462158,19440.47232455696,11721.53825458725,19781.167976840974,19609.700052948745,17661.172125521636,19605.450139161803,19660.059138000615,19131.905578606944,17024.43637192359,13763.13033049093,12768.969036799475,0.988937193697149,425661080.0,9.726518392562866,454769343.0,10.523017406463623
27,,,,,,,,,,,,,,439577122,10.066962718963623,499775149,12.106830835342407,20259.963990706896,12068.502438500029,20613.434803430435,20231.72441753967,18236.681658533733,20438.490684909,20485.27152296669,19712.487320310098,17557.762767805143,14304.317716781772,13289.158181503764,0.9893066341226752,430270200.0,9.848910093307495,456909842.0,10.575011014938354
