,sta0_datasz,sta10_datasz,sta2_datasz,sta3_datasz,sta5_datasz,sta4_datasz,sta6_datasz,sta7_datasz,sta8_datasz,sta9_datasz,sta1_datasz,host_consumption_sta8,training_time_sta8,host_consumption_sta4,training_time_sta4,host_consumption_sta6,training_time_sta6,host_consumption_sta5,training_time_sta5,host_consumption_sta7,training_time_sta7,consumption_sta4,consumption_sta8,consumption_sta10,consumption_sta9,consumption_sta2,consumption_sta6,consumption_sta0,consumption_sta1,consumption_sta3,consumption_sta5,consumption_sta7,mean_acc,host_consumption_sta1,training_time_sta1,host_consumption_sta0,training_time_sta0,host_consumption_sta3,training_time_sta3,host_consumption_sta2,training_time_sta2
0,747088320.0,748350720.0,1128383616.0,1047438528.0,1135301568.0,436285440.0,995528640.0,1026684672.0,352361088.0,1102428672.0,684321792.0,184940566.0,4.80214262008667,204327602.0,5.459362030029297,350020772.0,10.35891842842102,406701169.0,12.629090785980225,407160884,12.653973579406738,651.9495083604295,562.9617076563397,632.7782998417337,642.1069461126647,577.7268989545316,512.8719270491454,428.381780243762,368.75707084412454,432.2841550680207,466.07976885924495,419.24379311165876,0.4827251569791274,,,,,,,,
1,,,,,,,,,,,,,,,,452214968.0,10.959723711013794,515738914.0,13.127830743789673,513279692,13.043925762176514,1056.5675037350697,966.1729847377514,1065.8620499249803,1047.916534061938,874.2171674147135,929.242249833457,750.7834035219746,703.9236183195167,710.1227866701595,855.5961529810786,778.8102950382255,0.6293040270155127,434993149.0,10.505702018737793,447438002.0,10.824674129486084,537582120.0,14.167815923690796,,
2,,,,,,,,,,,,,,,,,,563042932.0,13.749396800994873,553597643,13.32332730293274,1352.9957879558972,1351.3466363717423,1501.8872175520396,1459.7663319171727,1285.225984195078,1287.3484724415525,1108.6132704791632,1056.8528974266278,1080.850199208708,1235.3269867541617,1118.1160664413128,0.9196423617276278,408653007.0,8.755588293075562,427034613.0,9.170352220535278,512115327.0,11.706244707107544,461954140.0,10.045611143112183
3,,,,,,,,,,,,,,,,,,467413721.0,13.633437871932983,455822685,13.186133623123169,1627.7149674885002,1757.8557779672317,1914.1052314452616,1858.5111499372833,1726.2787171404198,1578.6217617883506,1437.6063270452978,1313.9527428049405,1456.984401767998,1602.8023025209031,1459.51141545315,0.936752135103399,356962343.0,9.820233821868896,368648104.0,10.157932043075562,464846711.0,13.517592430114746,,
4,,,,,,,,,,,,,,,,455475641.0,11.052598476409912,516281821.0,13.140229940414429,511727206,12.979410409927368,1923.888839345031,2144.7021575460276,2382.455016062121,2337.575602372231,2008.7493245307103,1933.6970417733712,1707.0362435991883,1609.073220459671,1807.8768362743128,1982.1488333225998,1804.8728763092788,0.953740038655021,416058323.0,9.994037866592407,426893133.0,10.274869918823242,528728810.0,13.730234146118164,,
5,,,,,,,,,,,,,,175044107.0,3.679739236831665,425317027.0,10.298359870910645,,,485877235,12.781967878341675,2337.0335469853394,2523.159440692664,2837.288901361888,2765.9844897223584,2288.627666184139,2371.084331637604,2029.502125362303,1909.3278690079258,2157.254854816058,2346.488457970344,2170.4294884364176,0.9626167795874856,410902879.0,9.881423711776733,421754597.0,10.187285900115967,500208375.0,13.452638626098633,,
6,,,,,,,,,,,,,,188724126.0,3.69122052192688,,,,,527507866,13.620616436004639,2860.236758796476,2959.9586207798384,3289.002664409729,3202.855679958856,2701.551888329377,2723.208871284695,2385.625553246118,2229.5046796450656,2546.9812840249615,2663.705003711645,2510.608918159044,0.9684607657519254,401015209.0,8.613438844680786,415042822.0,8.969189882278442,483097518.0,11.481499910354614,437005046.0,9.597472667694092
7,,,,,,,,,,,,,,,,561217191.0,11.20306134223938,620784483.0,13.360309839248657,616844063,13.193128824234009,3261.049399929491,3376.6619566706013,3740.9742300985604,3620.952801022065,3243.1697266102155,3046.3172687349424,2747.8988261482627,2564.119182302632,2961.9958849455134,2993.7591657220974,2837.3736859647197,0.9717392704703591,471797743.0,8.995013236999512,492695760.0,9.402320623397827,587683432.0,12.06671953201294,517635515.0,9.959611654281616
8,,,,,,,,,,,,,,,,641825689.0,20.6224045753479,517069600.0,13.112859010696411,514420681,13.021878957748413,3707.9980185494874,3907.4985971239525,4295.020927385861,4084.1568264002863,3781.8777595325373,3655.2793001395053,3236.058325539706,3023.49061574708,3493.404395475825,3559.199623399034,3267.3036906656453,0.9740037538788535,423464919.0,10.076775074005127,432678580.0,10.326159954071045,527362175.0,13.589941263198853,,
9,,,,,,,,,,,,,,,,,,461279398.0,13.489649057388306,456164604,13.239429950714111,3957.533754382465,4322.132790157222,4683.589120082211,4450.206950421114,4048.1010911071226,3936.99596964045,3549.122107228477,3313.6723436150905,3836.28943417853,3853.991673038845,3587.481694793123,0.9764938842166554,354000009.0,9.814570903778076,364709516.0,10.12919545173645,458472398.0,13.33471941947937,,
