,sta0_datasz,sta10_datasz,sta2_datasz,sta4_datasz,sta3_datasz,sta6_datasz,sta5_datasz,sta8_datasz,sta9_datasz,sta1_datasz,sta7_datasz,host_consumption_sta8,training_time_sta8,host_consumption_sta6,training_time_sta6,host_consumption_sta5,training_time_sta5,host_consumption_sta7,training_time_sta7,consumption_sta8,consumption_sta4,consumption_sta10,consumption_sta9,consumption_sta6,consumption_sta2,consumption_sta1,consumption_sta5,consumption_sta3,consumption_sta0,consumption_sta7,mean_acc,host_consumption_sta1,training_time_sta1,host_consumption_sta0,training_time_sta0,host_consumption_sta3,training_time_sta3,host_consumption_sta4,training_time_sta4,host_consumption_sta2,training_time_sta2
0,747088320.0,748350720.0,1128383616.0,436285440.0,1047438528.0,995528640.0,1135301568.0,352361088.0,1102428672.0,684321792.0,1026684672.0,145167964.0,4.85951566696167,315447740.0,10.584152460098267,366942237.0,12.775169849395752,368791171,12.867295265197754,564.6036795469911,574.6937845184939,647.9834176126878,629.7626492712883,512.668619195492,579.3811422527336,322.22953033842333,446.5023200181308,413.5903628146309,434.82663274001067,398.7192501344857,0.41067983277819375,,,,,,,,,,
1,,,,,,,,,,,,,,,,464481477.0,13.514714002609253,455366571,13.16452407836914,963.2720353477116,874.177484412719,959.5381641106095,1036.8702842615292,864.4770867225459,877.2162291283039,587.6213891728827,824.9179640787942,695.0461982354739,678.5137779163842,739.9881861139755,0.7376324100927873,368069798.0,10.243359804153442,381247804.0,10.647922992706299,472236034.0,13.889257431030273,,,,
2,,,,,,,,,,,,,,,,462718237.0,13.563524723052979,454251889,13.203544616699219,1310.3849610325788,1163.3407734043801,1392.5559101749839,1384.4716340988086,1136.1349530097336,1162.1214023527566,893.5953075225989,1188.0547956799983,1042.7319793466093,993.8862185460652,1071.0029523949934,0.926756739616394,354252389.0,9.801223754882812,364659711.0,10.12352967262268,460309307.0,13.438533544540405,,,,
3,,,,,,,,,,,,,,390955542.0,10.639434576034546,,,568618723,20.587857484817505,1945.0223080317055,1528.4739494817088,1973.791964274591,2014.80308557146,1621.5566257583835,1572.1112137996624,1344.704014324699,1608.8311561710195,1564.1979309268395,1474.3606028998117,1513.7593809751631,0.9449048259041526,362217578.0,9.754356622695923,375571914.0,10.129999160766602,456290153.0,13.401258707046509,,,,
4,,,,,,,,,,,,,,592254405.0,10.845353603363037,655104952.0,13.028993606567383,656226958,13.075066566467285,2343.3775385636136,1923.5862785106235,2362.336862720393,2391.080621985998,2043.653398703956,2027.8325536027946,1690.2628155493396,1941.722188431402,1943.604431380417,1816.6097137155257,1851.6870353729073,0.960694199258631,519896191.0,9.177874326705933,576576282.0,10.426911115646362,634273767.0,12.236839294433594,258858896.0,4.281402349472046,579427899.0,10.482942342758179
5,,,,,,,,,,,,,,,,589114581.0,13.039993047714233,589448503,13.065844535827637,2769.658958441901,2465.1613079136478,2760.598491921724,2769.0077422680606,2414.032932012425,2562.4330264808327,2038.132503552105,2342.866211565946,2341.580087971283,2187.7460417954667,2220.0674773268343,0.9677174904129722,458067004.0,8.837188720703125,474779302.0,9.224440574645996,556751138.0,11.720810413360596,216512874.0,3.840019464492798,501221923.0,9.909327030181885
6,,,,,,,,,,,,,,448944041.0,10.851698398590088,637716263.0,20.616230249404907,512345673,12.990670442581177,3341.3811464941246,3075.5819779085896,3234.3800730612707,3371.400314806113,2979.4027961875854,3021.7855130362923,2416.827347405267,2905.532921241396,2801.793967532152,2609.946987048064,2733.7293867238814,0.9720828424800526,417204865.0,9.983994722366333,433642140.0,10.424858331680298,524362610.0,13.52375602722168,,,,
7,,,,,,,,,,,,,,,,462236975.0,13.445656299591064,457022329,13.258497953414917,3637.679272427244,3333.055949417017,3706.682454434394,3689.492660608309,3316.5337380865035,3285.7901556243237,2715.6677040782115,3261.274367330195,3141.878347242403,2931.3434920833906,3063.3549500737113,0.9752458333969116,353996469.0,9.768309593200684,367816807.0,10.173269987106323,461067423.0,13.392724514007568,,,,
8,,,,,,,,,,,,,,,,462972203.0,13.519038915634155,457224049,13.296367645263672,4036.3871044583684,3610.1070026926523,4150.806848076818,4102.754500874946,3627.6541993316164,3565.188671163908,3015.365761328364,3623.888752476165,3493.047943009276,3250.8179134430675,3306.8757694082815,0.97684091871435,354094430.0,9.796914339065552,367237097.0,10.171839952468872,460023786.0,13.397588968276978,,,,
9,,,,,,,,,,,,,,,,,,644831480,20.595244646072388,4642.136026912793,4128.343614488038,4764.199996325857,4655.477337167894,4036.7999209854293,4249.9429502014455,3531.058239661366,4028.8342931246993,4041.899305763115,3806.242720065243,3812.089250141905,0.9783953157338229,404231448.0,8.65718150138855,417891325.0,9.022659063339233,484007611.0,11.44933271408081,191277647.0,3.705631732940674,437294290.0,9.597231388092041
10,,,,,,,,,,,,,,481569446.0,10.590422630310059,543267896.0,12.687315702438354,548786803,12.894709825515747,5034.455828051557,4639.377957446528,5181.0868805908985,5028.357634978204,4373.361205165586,4644.670307470489,3818.7505029908193,4339.289602147678,4398.897058619671,4115.394660802979,4155.607934774138,0.9802994890646501,460533367.0,10.063824892044067,478875483.0,10.517391204833984,563912130.0,13.607110023498535,194644338.0,3.7796335220336914,,
11,,,,,,,,,,,,,,451320194.0,10.890931844711304,511523409.0,12.966742038726807,513412748,13.03867244720459,5470.973309641585,5104.155562980598,5588.286762977669,5417.360778175494,4781.935647179579,4925.700650959296,4121.582918940127,4729.13303238832,4660.164923722872,4440.066331404321,4505.920601739545,0.9812923290512778,415430211.0,9.915283441543579,434990219.0,10.43255090713501,526839105.0,13.650535583496094,,,,
12,,,,,,,,,,,,,,448220044.0,10.830933570861816,509427956.0,12.94965648651123,509659829,12.959427118301392,5839.202907278718,5410.471907555299,5978.845757676477,5838.1383475401435,5200.797075485523,5274.946438654792,4435.596373636878,5119.443270982014,5001.285497769233,4773.180985032714,4857.851158860068,0.9822430610656738,415951694.0,9.940281629562378,430791805.0,10.311191320419312,523074528.0,13.608470916748047,,,,
13,,,,,,,,,,,,,,448274304.0,10.861900568008423,509869239.0,12.974332809448242,511881135,13.053431272506714,6232.519181748833,5711.590250025184,6395.006636831564,6280.958539342626,5617.68920978856,5618.00100646872,4667.698457834942,5512.4329284666555,5345.932821909578,5092.318119190117,5202.566869867246,0.9832228530536998,416409517.0,9.96644639968872,432861441.0,10.38821291923523,525314940.0,13.664793968200684,,,,
14,,,,,,,,,,,,,,,,463504123.0,13.47879695892334,457325245,13.242080688476562,6637.185455537614,6008.202005538493,6730.376015266033,6686.115651713917,5962.966614091333,5955.079218879987,4965.147716400188,5889.124155098929,5688.947015502202,5345.953592703224,5534.81965636026,0.9838889241218567,353614817.0,9.75727915763855,369280061.0,10.215864419937134,463660922.0,13.483186721801758,,,,
15,,,,,,,,,,,,,,,,462138832.0,13.511799335479736,452211977,13.139488458633423,6980.912239145203,6299.52795341726,7116.710513006754,7012.890651682597,6233.666864941321,6239.561410563925,5265.917813662184,6260.652311771757,6043.519456320616,5672.279066530113,5861.250134603195,0.9841445738619025,354998481.0,9.818912029266357,371553126.0,10.34298849105835,461946877.0,13.49710202217102,,,,
16,,,,,,,,,,,,,,553184130.0,11.091520309448242,611041831.0,13.179686307907104,611599813,13.201714038848877,7392.494736121995,6583.065703133129,7540.108500506706,7443.03954101375,6615.74013832613,6654.911308659927,5609.05207917938,6627.885217210808,6444.573162714334,6034.579863465079,6208.339205054832,0.9847917285832491,468913900.0,9.022481679916382,492254294.0,9.4732506275177,582092016.0,12.052955865859985,,,516438131.0,10.017212629318237
17,,,,,,,,,,,,,,488264741.0,10.605220079421997,550225703.0,12.707932710647583,552619312,12.79810881614685,7840.490202161945,6982.138653973961,7997.776486394714,7840.912802926676,7042.785826476492,7047.119167658069,5918.077878262125,7030.7121285748535,6813.735087590958,6378.535661967499,6597.773552836177,0.9849094369194724,464660676.0,10.025108575820923,483870893.0,10.494103908538818,572747008.0,13.735438585281372,196448289.0,3.785817861557007,,
18,,,,,,,,,,,,,,479294366.0,10.47629427909851,546701237.0,12.757330417633057,547963990,12.796589612960815,8257.346849335116,7512.178120611574,8415.886657175057,8254.366045999297,7479.876852927536,7329.4110825769785,6225.292397086958,7430.351294409452,7163.431320638521,6704.229919044559,6978.1821729442845,0.9853380593386564,462677893.0,10.057184219360352,478605830.0,10.472429275512695,567979808.0,13.712831497192383,197620283.0,3.8070197105407715,,
19,,,,,,,,,,,,,,,,552219045.0,13.499923706054688,548319153,13.340712308883667,8671.605040729251,7924.616216684717,8817.282584902016,8693.926433913213,7832.08483215396,7741.615241286335,6573.731843031899,7796.072005769986,7558.135596910129,7077.984124281638,7324.014171579569,0.9864978790283203,410553881.0,8.76188611984253,424150892.0,9.081560611724854,507139754.0,11.68886423110962,,,446457841.0,9.656834840774536
