,sta0_datasz,sta10_datasz,sta2_datasz,sta1_datasz,sta4_datasz,sta3_datasz,sta5_datasz,sta6_datasz,sta8_datasz,sta9_datasz,sta7_datasz,host_consumption_sta8,training_time_sta8,host_consumption_sta6,training_time_sta6,host_consumption_sta9,training_time_sta9,host_consumption_sta7,training_time_sta7,host_consumption_sta5,training_time_sta5,consumption_sta8,consumption_sta4,consumption_sta9,consumption_sta10,consumption_sta2,consumption_sta6,consumption_sta5,consumption_sta0,consumption_sta7,consumption_sta3,consumption_sta1,mean_acc,host_consumption_sta1,training_time_sta1,host_consumption_sta0,training_time_sta0,host_consumption_sta3,training_time_sta3,host_consumption_sta2,training_time_sta2,host_consumption_sta4,training_time_sta4
0,747088320.0,748350720.0,1128383616.0,684321792.0,436285440.0,1047438528.0,1135301568.0,995528640.0,352361088.0,1102428672.0,1026684672.0,151440042.0,4.183143138885498,370366484.0,10.804723262786865,381230531.0,11.173931121826172,421934772,12.836347579956055,422343951.0,12.856691837310791,564.2814684504734,585.8568881296986,658.0910901347137,571.6403501201269,538.7791756814811,503.6728118812275,461.6320977198763,373.8116330360633,407.63881758537366,391.3421680780499,343.30252824576246,0.460703948343342,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,454762019,13.272236585617065,457367665.0,13.3734130859375,879.7751522687041,885.3339052035545,1026.1246642400251,1059.8123453285264,791.7690702842194,850.6117486852572,835.2890567040826,641.8813463291558,740.6968380444789,676.9028535654998,603.3022586449486,0.5114396458322351,369852508.0,10.364495515823364,379713079.0,10.668312788009644,470094073.0,13.97444200515747,,,,
2,,,,,,,,,,,,,,,,,,496369457,14.397019386291504,,,1400.5481636203992,1144.6526966671254,1443.7438273754487,1473.051601673171,1207.444913583882,1105.9458623570342,1152.077079131915,1012.883799118255,1052.1198171340914,1062.6207940002855,944.5589046784849,0.9187854420055043,356218509.0,8.473594188690186,413273966.0,10.374402523040771,433532154.0,11.202346086502075,393284088.0,9.547850131988525,,
3,,,,,,,,,,,,,,487386204.0,10.527546167373657,,,550627863,12.657504320144653,552179861.0,12.707698583602905,1852.5262363429642,1541.0454558378678,1985.218010745965,1907.3683854669757,1590.2239559516552,1454.0892629404475,1474.3106514385063,1366.313259235367,1403.1730926276618,1408.2807053635202,1270.7679666671334,0.9420249895616011,471570265.0,10.152525424957275,484186749.0,10.458976030349731,573350278.0,13.723303079605103,,,213148320.0,4.100367784500122
4,,,,,,,,,,,,,,482314195.0,10.611879587173462,,,545163277,12.762791156768799,543196913.0,12.689808130264282,2374.003203373173,2324.7796511314314,2537.435440246614,2511.40327713661,2000.596223322352,2103.7924966355763,2072.936061530191,1844.4706870291227,1845.014013804928,1920.601248076354,1722.247673083539,0.9551498077132485,474548895.0,10.390304565429688,681053616.0,20.58137845993042,566303299.0,13.771131753921509,,,201392734.0,3.9065778255462646
5,,,,,,,,,,,,,,551742850.0,11.099164962768555,,,606991183,13.140228271484375,730815939.0,20.65485954284668,2959.594646377502,2828.4391835840115,3127.312844445231,3086.3508861295345,2660.316539307906,2626.671558949719,2541.4382683243703,2388.9090124315935,2338.752683209176,2498.4590043740263,2221.182407960792,0.9647986888885498,463941683.0,8.97606372833252,486509558.0,9.447824478149414,579825970.0,12.046098709106445,513062896.0,10.016940116882324,,
6,,,,,,,,,,,,,,553283801.0,11.093336820602417,,,612203145,13.25476598739624,613368608.0,13.300793886184692,3353.055265685774,3140.9864989130247,3531.0910996120356,3461.495200787165,3191.761026623207,3041.4232622374543,2926.8139470949573,2759.1955723138185,2677.3909329997705,2903.9965206397314,2539.949810293331,0.9698273485357111,468162376.0,9.021878242492676,488480073.0,9.429291725158691,581911230.0,12.052963733673096,515063745.0,10.03020453453064,,
7,,,,,,,,,,,,,,446508012.0,10.841097593307495,,,508796671,12.9413902759552,509582436.0,12.970601797103882,3752.47492137685,3498.978930278197,3912.052144424854,3868.2153016788657,3555.348229102322,3452.0939252853896,3308.5731429910866,3115.7239324373845,3027.4883505524695,3284.2327312237535,2842.912543111331,0.9734241583130576,429702941.0,10.372232675552368,429122437.0,10.36107587814331,525018431.0,13.666835069656372,,,,
8,,,,,,,,,,,,,,,,,,458868149,13.233715295791626,463162266.0,13.397653818130493,4139.286859756028,3857.6398754715215,4323.973777013735,4258.730588584549,3835.552802584694,3799.8950894624018,3695.611361823743,3440.3643070065605,3364.8619910111543,3550.3807146388003,3143.4036539921003,0.9774470816959034,357406494.0,9.824693441390991,365746073.0,10.074435234069824,463942843.0,13.428960084915161,,,,
9,,,,,,,,,,,,,,,,,,458949936,13.224483489990234,461672891.0,13.316662073135376,4540.667934326606,4143.668427452023,4693.093372758812,4649.83771440987,4149.168240581605,4090.1033031720312,4068.1124042268852,3757.158479377714,3699.3706322081716,3896.6574866599135,3399.246461037017,0.9788367748260498,361034293.0,9.84499192237854,368946993.0,10.083128213882446,465204681.0,13.471123218536377,,,,
10,,,,,,,,,,,,,,450390265.0,10.891566753387451,,,511830904,12.99992847442627,510524083.0,12.949928045272827,4926.610512865107,4445.49168693311,5101.952647326937,5097.613801716517,4429.625665146817,4447.900541448774,4443.617876907297,3998.5949238495555,4038.689311874816,4247.280332821847,3693.3885178805353,0.9804583137685602,415995639.0,9.97239351272583,430289670.0,10.335130214691162,526588251.0,13.673282384872437,,,,
11,,,,,,,,,,,,,,,,,,502386897,14.455134630203247,,,5302.013901924279,4725.343902913188,5532.009633304131,5545.697994133064,4843.847489970992,4785.8051715456895,4762.828867922144,4436.873377662765,4347.850182457553,4645.949914641353,4118.220534958703,0.9817293990742076,359507868.0,8.45394778251648,371686976.0,8.773576736450195,437426980.0,11.230446815490723,390865942.0,9.322513818740845,,
12,,,,,,,,,,,,,,479498955.0,10.510599136352539,,,544743478,12.709951162338257,546409917.0,12.762530088424683,5680.4099590156475,5127.311103393424,5925.880983320527,5982.931585324482,5311.920945632976,5143.965291487619,5103.297702611423,4788.361055985009,4698.4773646384,5020.608249169741,4435.118098937945,0.9826167225837708,467780235.0,10.182752132415771,477181151.0,10.434616804122925,566940077.0,13.741387128829956,,,194781362.0,3.8112082481384277
13,,,,,,,,,,,,,,478902094.0,10.471678256988525,,,543296094,12.669667959213257,545179085.0,12.74365782737732,6110.935079698955,5657.652227926593,6302.100015191591,6394.771514654254,5629.28905757358,5569.081730326486,5502.618007534642,5111.64162873596,5073.383472882013,5371.9754483719635,4737.59740265157,0.9838041012937372,466711696.0,10.148307085037231,477686155.0,10.446679830551147,565441180.0,13.72506070137024,,,198876627.0,3.802093982696533
14,,,,,,,,,,,,,,450255744.0,10.89908504486084,,,509269082,12.941598653793335,511544955.0,13.018959283828735,6504.609793811804,6047.018799541727,6684.398899770085,6791.428102203767,5967.417178575964,5989.296733685546,5887.833355922285,5435.348346927154,5430.117901042317,5727.417075960059,5069.4324807661105,0.9840363264083862,420344872.0,10.067633628845215,430101254.0,10.325005292892456,524641602.0,13.622134685516357,,,,
15,,,,,,,,,,,,,,,,,,451194707,13.190855026245117,454059628.0,13.287874460220337,6881.741081398701,6335.345420497821,7092.935564391529,7110.811659418471,6308.023088591837,6338.823275071638,6261.974021227482,5707.344929825815,5761.401321672699,6067.526603016354,5308.983847612526,0.9844932122664019,354874397.0,9.863996505737305,361077872.0,10.039083003997803,458802292.0,13.506859540939331,,,,
16,,,,,,,,,,,,,,,,,,454231015,13.236366033554077,457205068.0,13.336329936981201,7161.69852493647,6618.59392383161,7432.648186925652,7535.183653424892,6593.823915202973,6622.94638126876,6634.42824621555,6025.737142969659,6090.454730650369,6421.099269450688,5605.328182016194,0.9846611185507341,353853586.0,9.859579801559448,369111177.0,10.346935510635376,460079389.0,13.464123010635376,,,,
17,,,,,,,,,,,,,,,,,,595124453,20.593453407287598,,,7756.038895155421,6934.636330527196,8096.6199717694335,8105.542401927632,7273.60046223617,6970.955732097721,7011.529119690144,6574.773979279354,6492.231481841431,6906.490117276851,6116.947214113978,0.985747987573797,412329022.0,10.35704755783081,369978789.0,8.825610876083374,434493333.0,11.264920473098755,387476486.0,9.337124109268188,,
18,,,,,,,,,,,,,,480331412.0,10.582680463790894,,,542761428,12.701106786727905,545453315.0,12.801483392715454,8155.1503692421975,7303.1443845223475,8513.284755825938,8505.36442478443,7689.94062945931,7299.250040922427,7348.494679864064,6888.603045309467,6842.466617074235,7340.508423445096,6406.759588866115,0.9859866879203103,463672031.0,10.151947975158691,474748480.0,10.439695358276367,566325698.0,13.777781248092651,,,196748214.0,3.8346445560455322
19,,,,,,,,,,,,,,479621209.0,10.501978874206543,,,545546883,12.689623594284058,545137399.0,12.675728797912598,8569.762409999632,7814.283022729059,8919.877472398586,8919.082704536539,8033.280903619447,7729.60126288311,7737.526747297121,7202.783127393211,7206.241374920345,7695.195337594305,6705.158762535897,0.9857241023670543,462600928.0,10.080968141555786,478337704.0,10.474212646484375,564292989.0,13.577250480651855,,,196881760.0,3.796574831008911
20,,,,,,,,,,,,,,478962214.0,10.591888666152954,,,540457845,12.7168869972229,540610982.0,12.722532272338867,8964.005039714144,8352.3272618339,9315.205552819862,9319.16366163406,8371.517958102768,8165.775639420041,8124.735250191059,7522.808647537022,7565.79068012979,8062.015781795858,7001.335750652823,0.9859949133612893,457809253.0,10.079351663589478,475225529.0,10.50266146659851,560671904.0,13.64634394645691,,,193063043.0,3.7740557193756104
21,,,,,,,,,,,,,,446089068.0,10.833294153213501,,,506827560,12.927318811416626,510506750.0,13.063181638717651,9352.441583691458,8820.846170774023,9706.525806303054,9716.989538013906,8714.989020941732,8583.9840783441,8499.59755835528,7838.785007553858,7920.625479145327,8321.066686777347,7296.965680413625,0.9861051819541238,416931428.0,10.0504732131958,429050660.0,10.36044430732727,524678772.0,13.751078844070435,,,,
22,,,,,,,,,,,,,,451483768.0,10.965546131134033,,,510520299,12.985336542129517,632901028.0,20.64068341255188,9929.44952433167,9334.757435298601,10226.411638915759,10213.241539401599,9131.652692769347,9202.709501779746,9079.706722733777,8242.572655111237,8445.610254526653,8845.743598129184,7691.982276950932,0.9861795739694075,421413167.0,10.116766452789307,426663520.0,10.286892890930176,525084837.0,13.701133966445923,,,,
23,,,,,,,,,,,,,,,,,,457316761,13.291616678237915,459030075.0,13.34873628616333,10238.510263118154,9606.757277212422,10651.815197043255,10646.571706103812,9397.56629827163,9546.703201370641,9439.65355661966,8555.499152834913,8774.216886615173,9187.46956317172,7978.19337341161,0.9870761849663474,355411260.0,9.85050106048584,364683881.0,10.115102052688599,462839208.0,13.516010284423828,,,,
24,,,,,,,,,,,,,,,,,,547773866,13.402667045593262,548557861.0,13.428480386734009,10694.199390818954,9874.451040189218,11077.750958063927,11087.260507748302,9812.960140245477,9862.231745743513,9806.404360925197,8921.848981114275,9110.656368181244,9566.23441207093,8326.255029582773,0.9870474338531494,467813195.0,10.364150285720825,424584607.0,9.10987401008606,506008593.0,11.659381628036499,446377337.0,9.645963668823242,,
25,,,,,,,,,,,,,,,,,,552347402,13.34979796409607,554861433.0,13.46138620376587,11105.02971827708,10149.472733168235,11502.654032548577,11489.263123741019,10342.190768141429,10179.765220610776,10173.111723292985,9311.9068555549,9450.563748647353,9981.588894700799,8688.812827557944,0.9868771542202343,411198288.0,8.739408493041992,424576061.0,9.047045230865479,510871800.0,11.692792654037476,450004890.0,9.685199737548828,,
26,,,,,,,,,,,,,,484696941.0,10.549962520599365,,,685117264,20.653964519500732,550764521.0,12.792049169540405,11754.129352353406,10674.501065358143,12140.162213276277,12086.541135293794,10855.451858911421,10700.642910066963,10670.72185869716,9827.899378184164,9909.639728825732,10525.717391157743,9161.632364741965,0.9870446486906572,466772487.0,10.076871395111084,477568480.0,10.35969090461731,570398748.0,13.709623575210571,,,199700844.0,3.8406052589416504
27,,,,,,,,,,,,,,484082989.0,10.540073156356812,,,548968932,12.71388864517212,548508849.0,12.694719552993774,12169.506865802201,11186.677166980944,12541.188879832313,12493.56185424557,11182.77437002246,11128.618419558496,11044.56665854726,10147.52337343472,10269.569827120604,10883.01100596096,9460.08636938416,0.9873710003766146,464899688.0,10.062294244766235,478597224.0,10.411488056182861,569942876.0,13.736477375030518,,,197915142.0,3.840067148208618
28,,,,,,,,,,,,,,448186963.0,10.837043762207031,,,509456215,12.983216762542725,511987398.0,13.07706069946289,12776.98679360414,11806.449640826597,13172.809733770777,13111.020713884012,11591.655102813349,11737.84478176838,11597.846506058162,10628.483504508229,10779.598537501004,11320.032241514658,9829.123055321112,0.9874893643639304,418645412.0,10.02509880065918,635246543.0,20.604308605194092,523493350.0,13.645038604736328,,,,
29,,,,,,,,,,,,,,,,,,552831593,13.41907787322998,555899273.0,13.537612676620483,13158.349144054471,12076.903346838331,13619.237961444931,13554.508698333751,11985.448773946906,12059.528527075749,11970.113363881084,10889.36566303719,11099.433774983343,11704.878209010085,10134.289232502002,0.987520927732641,472050916.0,10.394618511199951,425338754.0,9.055686950683594,507475386.0,11.61235761642456,451206914.0,9.686715126037598,,
30,,,,,,,,,,,,,,,,,,550454401,13.389307975769043,552672413.0,13.480063438415527,13528.901271490804,12370.932347583988,14067.325307034538,13912.533162036194,12529.084447589685,12350.01059129127,12337.037567274614,11244.117403297892,11427.357689272763,12114.35567740745,10465.210268580331,0.9875742522152987,410751573.0,8.755831003189087,424673839.0,9.078464031219482,508250652.0,11.68320369720459,449149057.0,9.691160440444946,,
31,,,,,,,,,,,,,,481678699.0,10.481228828430176,,,545769355,12.647245407104492,548260499.0,12.733545780181885,13952.10484364599,12788.49224594666,14498.401107251864,14414.40889333072,12941.52344485593,12695.255472452123,12736.386727041365,11567.910706644685,11774.101351759382,12491.405595674843,10792.672786197372,0.9875823801214044,467702782.0,10.124728918075562,479417413.0,10.43053388595581,569564704.0,13.711102724075317,,,198591777.0,3.810490369796753
32,,,,,,,,,,,,,,452273073.0,10.85874080657959,,,512486908,12.976109743118286,514191372.0,13.035229206085205,14242.06635113594,13216.06269069621,14856.251420703626,14858.430484202858,13226.853467879924,13109.91994384153,13143.031890682238,11882.66368711652,12130.141581604978,12839.593831782382,11092.634084353811,0.9875862815163352,420889120.0,10.017618417739868,434471605.0,10.375864267349243,525751522.0,13.593844413757324,,,,
33,,,,,,,,,,,,,,448555554.0,10.912757635116577,,,507465131,12.945448637008667,634981529.0,20.64450716972351,14854.719519797987,13565.419103117745,15493.766755303634,15472.103993159888,13643.095701662984,13634.990584987274,13616.093248270088,12364.568165883196,12563.911266984298,13362.773572475598,11537.218837055434,0.987454967065291,414514014.0,9.984413862228394,426415717.0,10.28770923614502,522991642.0,13.662615537643433,,,,
34,,,,,,,,,,,,,,586691796.0,10.839721918106079,,,648147510,13.016074657440186,647648854.0,12.998126983642578,15253.476431661196,13948.141987374069,15891.172096994314,15864.884169238252,13969.86335286442,14055.666564207993,13994.620185468892,12725.116573573903,12919.259623054246,13671.15340872182,11858.827454357677,0.9878033995628357,512820404.0,9.09728717803955,530879195.0,9.479515552520752,625799301.0,12.12915825843811,568183970.0,10.303069591522217,239685910.0,3.9616568088531494
35,,,,,,,,,,,,,,,,,,584259734,12.991304397583008,586185266.0,13.07213044166565,15663.029854968578,14476.90910379458,16322.95213380023,16274.45807443259,14503.650937651511,14433.852801903142,14393.496230559085,13111.779088147086,13280.341392407026,14063.966633722677,12243.54253856738,0.9874860969456759,450888921.0,8.728670358657837,466583278.0,9.084158897399902,550142390.0,11.66232705116272,496708201.0,9.848939180374146,216497492.0,3.8213107585906982
36,,,,,,,,,,,,,,,,,,449973152,13.240285158157349,453198120.0,13.360468864440918,16078.145402554726,14893.150454124609,16735.78932281597,16579.042427380202,14942.076348799694,14720.647536156546,14768.797884361675,13364.331815731628,13619.784285176176,14442.256855923297,12488.351176868697,0.9879429123618386,351557022.0,9.84213399887085,359066647.0,10.073633670806885,455536920.0,13.468044996261597,,,,
37,,,,,,,,,,,,,,446851090.0,10.823657751083374,,,507738996,12.926244497299194,508304546.0,12.946490287780762,16469.232981638248,15198.432953036046,17095.56547668993,16999.627895726757,15218.354350827265,15059.856981717674,15148.471426112763,13700.205825311243,13961.254714555687,14796.512072258563,12789.40416489849,0.9879244836893949,417047760.0,10.020487785339355,429245178.0,10.317140817642212,524701904.0,13.695649862289429,,,,
