,sta0_datasz,sta10_datasz,sta1_datasz,sta2_datasz,sta3_datasz,sta4_datasz,sta6_datasz,sta8_datasz,sta5_datasz,sta9_datasz,sta7_datasz,host_consumption_sta8,training_time_sta8,host_consumption_sta6,training_time_sta6,host_consumption_sta1,training_time_sta1,host_consumption_sta5,training_time_sta5,host_consumption_sta7,training_time_sta7,consumption_sta4,consumption_sta8,consumption_sta10,consumption_sta2,consumption_sta9,consumption_sta5,consumption_sta1,consumption_sta0,consumption_sta7,consumption_sta3,consumption_sta6,mean_acc,host_consumption_sta0,training_time_sta0,host_consumption_sta3,training_time_sta3,host_consumption_sta2,training_time_sta2,host_consumption_sta4,training_time_sta4
0,747441792.0,748451712.0,683362368.0,1127121216.0,1047892992.0,436739904.0,996387072.0,352007616.0,1134796608.0,1101267264.0,1025018304.0,162674633.0,4.796271324157715,375893874.0,11.198054075241089,399671157,12.04146957397461,419878503.0,12.950784921646118,422969315,13.087038040161133,678.6318063961078,590.0864307813514,665.9631700639394,605.0360388402701,650.0700988272484,556.2856561304525,404.00540151597227,504.20970776375475,394.9497510058648,449.4746163637313,601.2766757870254,0.5109293824908409,,,,,,,,
1,,,,,,,,,,,,,,,,305524181,9.76642656326294,,,414689673,14.299188137054443,1026.703813471873,990.9251096890971,1065.6236584123976,865.9829815451421,1038.1894758269598,877.8258402350365,693.0556002578176,781.4955331055276,717.1517471023799,781.5671337179053,878.5264871150398,0.47520345043052326,323600185.0,10.409653186798096,406265927.0,13.82791018486023,,,,
2,,,,,,,,,,,,,,732897110.0,20.63643741607666,474612310,9.168478727340698,611024803.0,13.219537019729614,611141319,13.225302457809448,1430.8339308062007,1569.6408703525613,1664.7918720798425,1393.3551101905957,1676.553670594952,1334.1215605108582,1200.2679944658578,1347.497763092798,1207.1124697248063,1277.1354276796037,1422.3913888466286,0.7275438511913473,479010004.0,9.257554054260254,580312052.0,11.94935417175293,526806146.0,10.344399452209473,,
3,,,,,,,,,,,,,,,,426022835,8.920802354812622,561538113.0,13.609404802322388,676535683,20.618703365325928,1896.4477759986958,2147.9331190272715,2175.9254123647497,2170.9910986059604,2277.4098580946375,1895.3396355250043,1633.8417920063293,1815.6186553332345,1695.6068872643284,1860.5721049602103,1907.9468722750698,0.7441820442644794,429281738.0,9.00939416885376,512394806.0,11.638176679611206,455756890.0,9.690879821777344,,
4,,,,,,,,,,,,,,488547639.0,10.652035236358643,470476274,10.186844110488892,548509155.0,12.708554029464722,552751942,12.861516952514648,2273.4540051695903,2565.627709439167,2722.30560686598,2571.003368432866,2712.8661676968013,2284.555694053264,1931.2562070708893,2133.7477853839155,2050.523702333234,2197.7077911612,2247.6538907701533,0.8118939833207564,480747060.0,10.443036794662476,575017205.0,13.89491057395935,,,211658211.0,4.122633457183838
5,,,,,,,,,,,,,,494274674.0,10.736457824707031,474030891,10.200204133987427,551072808.0,12.643985509872437,692713558,20.644357204437256,3041.291952083275,3137.345542010134,3274.3177096163267,2992.2587950154375,3238.6412021964543,2865.0524992944534,2380.7090313126905,2612.9726924435504,2593.1563044672043,2719.7621111655726,2883.7745508687294,0.8178028322078965,484798686.0,10.477796077728271,577371203.0,13.816369771957397,,,201264866.0,3.8209228515625
6,,,,,,,,,,,,,,457169728.0,11.14154314994812,423172989,10.17218279838562,508515971.0,12.916467428207397,512674652,13.06375002861023,3465.095515175971,3466.4942942250664,3679.40599479482,3258.8565706162276,3657.00724156878,3247.8519678395214,2673.7004757042296,2925.852523230419,2935.0774875074176,3064.534924650001,3287.813320139034,0.8053386631337079,427280339.0,10.289209842681885,527289666.0,13.76762866973877,,,,
7,,,,,,,,,,,,,,,,303708329,9.772948026657104,,,507550458,20.57844853401184,3790.500609388014,4070.9786086289932,4245.988422000565,3602.7718377289043,4247.2166843099985,3636.999614739674,3060.959220376768,3410.7427126429366,3346.6216131067085,3500.082233432637,3685.9984555741044,0.775907043706287,308998293.0,9.96099328994751,387453232.0,13.241879224777222,,,,
8,,,,,,,,,,,,,,560745879.0,11.306215763092041,475000554,9.144172430038452,611321800.0,13.15519642829895,611314536,13.157277345657349,4054.5646510435427,4463.433029251937,4675.796520122143,3992.8147963229703,4639.837500462763,3955.7983532464586,3365.6622802539737,3664.432875285819,3664.379333900982,3883.3754172006966,4009.031075672403,0.8689318705688823,484230022.0,9.328265905380249,582221288.0,12.026121616363525,512613861.0,9.944324254989624,,
9,,,,,,,,,,,,,,564230489.0,11.340495586395264,477459838,9.177354335784912,615049085.0,13.175464868545532,614878980,13.168788433074951,4353.058206805842,4858.155572488217,5123.971509704036,4527.390341118359,5071.452100090427,4346.754135994465,3710.9977326728795,4028.6317761488444,4008.0475164667914,4295.181980352743,4426.823237292991,0.8966154103929346,486929845.0,9.362946033477783,587867635.0,12.109224319458008,520237499.0,10.111456394195557,,
10,,,,,,,,,,,,,,495272718.0,10.676917552947998,480235953,10.271959066390991,554225754.0,12.677712440490723,556131205,12.741837501525879,4767.046597323081,5264.1867586712515,5563.12037225218,4933.8649416224325,5511.636458430652,4752.51741826794,4044.5725401576774,4382.277851943115,4370.692313951669,4668.335327293411,4855.1593368553995,0.8980765505270525,482102526.0,10.329274654388428,580737710.0,13.859711647033691,,,201841402.0,3.8488097190856934
