,sta0_datasz,sta10_datasz,sta2_datasz,sta1_datasz,sta3_datasz,sta4_datasz,sta5_datasz,sta8_datasz,sta9_datasz,sta6_datasz,sta7_datasz,host_consumption_sta8,training_time_sta8,host_consumption_sta6,training_time_sta6,host_consumption_sta9,training_time_sta9,host_consumption_sta5,training_time_sta5,host_consumption_sta7,training_time_sta7,consumption_sta8,consumption_sta4,consumption_sta10,consumption_sta2,consumption_sta9,consumption_sta6,consumption_sta5,consumption_sta3,consumption_sta0,consumption_sta7,consumption_sta1,mean_acc,host_consumption_sta1,training_time_sta1,host_consumption_sta0,training_time_sta0,host_consumption_sta3,training_time_sta3,host_consumption_sta2,training_time_sta2,host_consumption_sta4,training_time_sta4
0,747441792.0,748451712.0,1127121216.0,683362368.0,1047892992.0,436739904.0,1134796608.0,352007616.0,1101267264.0,996387072.0,1025018304.0,151031596.0,4.149170398712158,377701426.0,10.97120976448059,383378414.0,11.16243839263916,426529487.0,12.909008741378784,428021549,12.984130382537842,584.0213514993006,600.1021571707859,557.893931458517,535.354353278058,619.1339540851526,503.6408571398442,457.9340866614296,389.4497083543139,360.9885800371713,436.8179486099279,343.50025022168876,0.4867809201506051,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,466019742.0,13.439298868179321,463765232,13.347873449325562,911.4427377780335,882.5397404625355,1051.2911477278722,778.1156861923798,974.38576480431,849.3337345801569,833.4753413302169,676.4921041390986,634.5605460740665,781.1048461950608,602.466654088521,0.5306172303178094,373417013.0,10.226624727249146,385714955.0,10.596626281738281,477216979.0,13.99047303199768,,,,
2,,,,,,,,,,,,,,,,,,,,505687488,14.440621852874756,1423.8717084384018,1127.3797831447243,1485.4015430973693,1180.0796799384293,1473.694512251525,1159.3907666998275,1142.2431752169452,1060.8594752624429,1003.6673712537621,1093.8312864286906,945.185685558851,0.6495194261660799,420492759.0,10.360265254974365,376952038.0,8.893359422683716,445441609.0,11.402414798736572,403674138.0,9.670118808746338,,
3,,,,,,,,,,,,,,600703479.0,10.990680932998657,,,786651551.0,20.68266224861145,659077781,13.069695711135864,1929.0776949280298,1768.9963550413706,2131.3379303727033,1949.7510696838149,2006.7128572076524,1704.0112793563778,1673.4670588233148,1656.5674361889007,1542.5038296092534,1612.954803492448,1489.8456631114527,0.836138816846704,523273501.0,9.151158809661865,545734626.0,9.608054876327515,640031260.0,12.322588205337524,571274051.0,10.175936937332153,265644889.0,4.365921974182129
4,,,,,,,,,,,,,,483943952.0,10.682614803314209,,,543623791.0,12.756420135498047,546816654,12.876733779907227,2457.494024246896,2291.294946415886,2529.562363776525,2310.7387624452554,2439.9832143239623,2132.570254296319,2087.058323040507,1998.4818341072203,1848.7583804554272,1984.5623905916016,1773.7533632712764,0.8183799927884882,456885610.0,9.977144241333008,474106391.0,10.418161630630493,566799758.0,13.826664686203003,,,199442849.0,3.827800989151001
5,,,,,,,,,,,,,,456384025.0,11.058209896087646,,,508559428.0,12.840698719024658,514626124,13.070463180541992,2786.524527863901,2718.2157707390093,2977.3164653373337,2594.923593921223,2873.6880694510146,2554.9443386305397,2475.43893791198,2346.5076179732373,2173.658736164394,2364.9140631618307,2080.695226228586,0.7778306698257272,414874671.0,9.937246799468994,432745780.0,10.382539510726929,529442615.0,13.77777886390686,,,,
6,,,,,,,,,,,,,,,,,,461856910.0,13.455206632614136,459675948,13.380859375,3176.421933791466,2995.5571370241832,3388.861592142623,2879.4794884977096,3288.1082006863494,2856.6309276140755,2859.5560359312735,2697.762573239931,2501.633400953083,2633.4866041063683,2389.4867449059,0.7710973166606643,352655470.0,9.7413809299469,368511325.0,10.214564800262451,462955846.0,13.499564409255981,,,,
7,,,,,,,,,,,,,,455506036.0,11.049383878707886,,,509294045.0,12.89449167251587,515528221,13.129703044891357,3586.010308979304,3274.261339113609,3789.8038469098638,3145.613243671244,3684.0827071543276,3200.2515636437947,3165.960346626563,3046.159986714675,2825.836510222373,2963.6652695108096,2693.1037922769137,0.7969194731929086,411184861.0,9.88786768913269,430307309.0,10.366522789001465,528724110.0,13.787200212478638,,,,
8,,,,,,,,,,,,,,560532562.0,11.192137718200684,,,613303850.0,13.118632316589355,617763617,13.35168743133545,4014.261384496358,3717.183829528867,4193.496440169768,3548.332432417668,4065.508192889681,3617.8475527579976,3539.989327290093,3430.9888376488866,3187.1707286382125,3313.8646507150943,3033.2085890361113,0.8508659289641813,471298720.0,8.994264841079712,490626552.0,9.411158084869385,587727500.0,12.084770441055298,520826609.0,10.068376064300537,,
9,,,,,,,,,,,,,,,,,,556154399.0,13.590519666671753,554485580,13.523518800735474,4398.756970846248,4006.202742279531,4586.161934920317,4081.691346457175,4477.973947462766,3984.4237133645056,3909.2361478111675,3806.17283153615,3581.6998100789465,3650.4115243439173,3384.225251942617,0.8843389261852611,416798738.0,8.830755233764648,428191470.0,9.085196733474731,510914403.0,11.72535228729248,453782591.0,9.762386798858643,,
10,,,,,,,,,,,,,,455202936.0,11.03115439414978,,,511329196.0,12.930641412734985,514863306,13.0673246383667,4773.522673325037,4348.798481056522,4951.972437002005,4457.571817513549,4874.266253416216,4333.239515794235,4279.479261481428,4184.011172380559,3921.259959591912,3997.583880092414,3688.3167431765582,0.8743090250275352,413448892.0,9.918728351593018,433337025.0,10.413788795471191,527982047.0,13.67504358291626,,,,
11,,,,,,,,,,,,,,456120536.0,11.051177740097046,,,512201691.0,12.95671796798706,515616417,13.09756064414978,5226.428479722135,4711.399258285351,5358.646209910683,4804.610506707001,5279.015247242774,4755.313800989581,4665.65991404728,4462.2932462762055,4241.893858979174,4353.68087186139,3986.784503771338,0.8451818525791168,414925451.0,9.905754804611206,433544789.0,10.4111647605896,528153799.0,13.675267696380615,,,,
12,,,,,,,,,,,,,,,,,,488975433.0,12.885451316833496,489021331,12.895926713943481,5626.090464158331,5121.093645400967,5761.090071285551,5083.634882385232,5671.856093950157,5127.357039540263,5061.093556815697,4814.789748429781,4563.181624392922,4704.474388885031,4286.0724294413185,0.8664970397949219,396964987.0,9.783512830734253,410201038.0,10.194510459899902,503105462.0,13.532901048660278,,,170657400.0,3.6729302406311035
13,,,,,,,,,,,,,,,,,,468024192.0,13.460385084152222,465327178,13.36172342300415,6025.724190015693,5513.8339320372825,6139.74194986553,5427.823496123203,6087.028990493385,5421.73811174142,5431.534973468469,5165.077604978491,4885.433924867153,5043.087265329427,4521.125693968244,0.8849586790258234,356811586.0,9.729553937911987,370429593.0,10.133965969085693,467480492.0,13.438808679580688,,,,
14,,,,,,,,,,,,,,397174826.0,10.747325658798218,,,,,453097290,13.050863981246948,6415.593090970129,5820.590897804825,6558.454733181085,5760.03999631661,6466.213458544101,5771.657311090165,5762.186068648755,5518.911694397271,5142.261615128417,5392.987065835774,4835.96745259433,0.8599279062314467,362200855.0,9.679030656814575,380801210.0,10.199204683303833,462703528.0,13.476215600967407,,,,
