,sta0_datasz,sta1_datasz,sta10_datasz,sta2_datasz,sta4_datasz,sta5_datasz,sta6_datasz,sta3_datasz,sta8_datasz,sta9_datasz,sta7_datasz,host_consumption_sta4,training_time_sta4,host_consumption_sta8,training_time_sta8,host_consumption_sta10,training_time_sta10,host_consumption_sta6,training_time_sta6,host_consumption_sta1,training_time_sta1,host_consumption_sta7,training_time_sta7,consumption_sta4,consumption_sta8,consumption_sta10,consumption_sta2,consumption_sta9,consumption_sta6,consumption_sta1,consumption_sta0,consumption_sta5,consumption_sta3,consumption_sta7,mean_acc,host_consumption_sta0,training_time_sta0,host_consumption_sta5,training_time_sta5,host_consumption_sta3,training_time_sta3,host_consumption_sta2,training_time_sta2
0,747441792.0,683362368.0,748451712.0,1127121216.0,436739904.0,1134796608.0,996387072.0,1047892992.0,352007616.0,1101267264.0,1025018304.0,189770266.0,3.9890315532684326,192065670.0,4.040172576904297,311985041.0,7.370945453643799,407166987.0,10.615347146987915,442162503,12.017091035842896,460757609,12.952003717422485,682.3919450236525,605.5616687992084,721.506986473342,602.161373607168,689.3992845688595,518.17968569993,403.50789264461974,444.30411604657104,460.43740035425407,441.866056532098,436.0117837376878,0.5810471461577849,,,,,,,,
1,,,,,,,,,,,,,,,,,,451568668.0,10.959025621414185,411865156,9.951635837554932,512511078,13.022670269012451,1222.6617687312457,1025.654646038352,1220.0125926596643,905.1999211512702,1123.6021276160968,933.5714701687838,716.7473994743797,724.809176727004,915.2986813389174,793.283501771734,797.2623036715103,0.597546870058233,447462966.0,10.85145354270935,519400281.0,13.298279523849487,538631189.0,14.24550986289978,,
2,,,,,,,,,,,,,,,,,,740238034.0,20.63674235343933,471379775,9.028745174407959,740624569,20.65817093849182,1673.0428710931747,1653.9159149241805,1918.965849573109,1551.9660531167187,1744.2554121101034,1549.158174499721,1240.982012104701,1280.906684926893,1420.1174270784152,1384.155307304109,1319.744716814426,0.710120902820067,490543910.0,9.422566890716553,611958638.0,13.10230016708374,587581198.0,12.102414608001709,527468254.0,10.262484312057495
3,,,,,,,,,,,,,,,,,,,,357050966,9.768747329711914,461747292,13.367989540100098,1995.4476036354624,2053.549724694608,2320.8786132737105,1919.7452061768288,2141.244591956702,1885.5260193150991,1530.7716511949016,1600.079696279743,1793.5134460372217,1656.451495949882,1648.878301620198,0.6755447114013474,371426418.0,10.234975337982178,462026100.0,13.377092838287354,465906889.0,13.557889938354492,,
4,,,,,,,,,,,,,,,,,,,,355680975,9.734786987304688,462621375,13.386967658996582,2503.2356621056324,2560.0214350275155,2846.9966915907053,2323.8921302262324,2623.3971167681934,2317.343144856107,1934.8856939679729,2007.0868037959635,2351.5027574654414,2182.6066337516595,2151.357722579936,0.6855570098215883,369717498.0,10.147367238998413,580752725.0,20.606044054031372,466960109.0,13.588683128356934,,
5,,,,,,,,,,,,,,,,,,498157843.0,10.985904932022095,419956322,8.768863439559937,548017091,13.296564102172852,2775.272092854507,2988.6211384585617,3286.5313621981268,2728.110257701623,3055.9972922448546,2688.6643874172296,2280.2337346573986,2369.5498871517775,2693.696114803515,2582.6984481797176,2479.56259898737,0.7529248967766762,439271642.0,9.202857494354248,,,517619341.0,11.757904291152954,459469893.0,9.69796085357666
6,,,,,,,,,,,,,,,,,,454916865.0,11.059747695922852,414193215,9.951971769332886,514174099,13.087160348892212,3069.7090901644597,3418.0205879605664,3686.8597261361283,3131.673257476458,3471.808700727481,3105.625027518536,2604.826287721274,2707.2897998384965,3054.811621407669,2958.584380072509,2739.67358733713,0.7856339107860218,437903726.0,10.585522413253784,511362582.0,12.977613925933838,528489736.0,13.734331607818604,,
7,,,,,,,,,,,,174023602.0,3.676607847213745,,,,,,,398879411,9.757428169250488,495246047,12.95919942855835,3553.212181963266,3819.610150225286,4069.8867227141386,3411.0163934396155,3839.2642296985414,3408.3520156305076,2918.4957161874318,3032.2071340319,3455.5768239444265,3309.2729996485104,3090.8210877270144,0.8214393888007511,412366193.0,10.146354913711548,490817042.0,12.753154516220093,508056622.0,13.56754446029663,,
8,,,,,,,,,,,,,,,,,,498937687.0,10.940744400024414,423724135,8.813798189163208,672728197,20.62250304222107,4008.7356675861406,4392.629485312554,4672.546035057966,4066.5050135180436,4479.994838224758,3976.668658409375,3446.7716339667286,3564.62733935617,3892.113823744274,3775.5904408334304,3595.6612357069675,0.8577424314889041,438138099.0,9.147093057632446,,,519981518.0,11.756567239761353,459771223.0,9.673506021499634
9,,,,,,,,,,,,,,,,,,638219557.0,20.62090563774109,430661251,10.353288650512695,513731228,13.076551914215088,4463.623889073104,4963.751894408487,5158.183542521915,4544.138331027466,4954.597924586495,4594.323955297877,3811.5455404850836,3966.0133989989486,4397.150489750935,4298.23237132202,4096.857177750424,0.8596137030558153,431228815.0,10.369722604751587,510913914.0,12.964559078216553,638762770.0,20.63883686065674,,
