[2026-07-06 08:32:14] Node: sta0 | alpha: 5.128e-09 | cpu_voltage: 0.71 | freq: [2000144.0, 2143317.0]
[2026-07-06 08:32:14] Node: sta1 | alpha: 5.06e-09 | cpu_voltage: 0.7 | freq: [1795760.0, 1897694.0]
[2026-07-06 08:32:15] Node: sta2 | alpha: 5.08e-09 | cpu_voltage: 0.7033333333333333 | freq: [3473058.0, 3096189.0]
[2026-07-06 08:32:15] Node: sta3 | alpha: 5.185e-09 | cpu_voltage: 0.7033333333333333 | freq: [2273526.0, 2158145.0]
[2026-07-06 08:32:15] Node: sta4 | alpha: 5.133e-09 | cpu_voltage: 0.7033333333333333 | freq: [3471950.0, 3175420.0]
[2026-07-06 08:32:16] Node: sta5 | alpha: 5.119e-09 | cpu_voltage: 0.7033333333333333 | freq: [2400000.0, 2465610.0]
[2026-07-06 08:32:16] Node: sta6 | alpha: 5.095e-09 | cpu_voltage: 0.7033333333333333 | freq: [2548255.0, 2700707.0]
[2026-07-06 08:32:16] Node: sta7 | alpha: 5.056e-09 | cpu_voltage: 0.7033333333333333 | freq: [1921378.0, 1836191.0]
[2026-07-06 08:32:17] Node: sta8 | alpha: 4.879e-09 | cpu_voltage: 0.6966666666666667 | freq: [2800564.0, 3258893.0]
[2026-07-06 08:32:17] Node: sta9 | alpha: 4.795e-09 | cpu_voltage: 0.69 | freq: [3598464.0, 3698589.0]
[2026-07-06 08:32:17] Node: sta10 | alpha: 4.912e-09 | cpu_voltage: 0.6966666666666667 | freq: [4332542.0, 3296435.0]
[2026-07-06 08:32:18] Node: sta0 | alpha: 5.128e-09 | cpu_voltage: 0.6966666666666667 | freq: [2000072.0, 2186668.0]
[2026-07-06 08:32:18] Node: sta1 | alpha: 5.06e-09 | cpu_voltage: 0.6966666666666667 | freq: [1797880.0, 2510641.0]
[2026-07-06 08:32:18] Node: sta2 | alpha: 5.08e-09 | cpu_voltage: 0.6966666666666667 | freq: [3475887.5, 3061285.0]
[2026-07-06 08:32:19] Node: sta3 | alpha: 5.185e-09 | cpu_voltage: 0.6966666666666667 | freq: [2203301.0, 2146536.5]
[2026-07-06 08:32:19] Node: sta4 | alpha: 5.133e-09 | cpu_voltage: 0.6966666666666667 | freq: [3546947.5, 2953662.5]
[2026-07-06 08:32:19] Node: sta5 | alpha: 5.119e-09 | cpu_voltage: 0.69 | freq: [2400000.0, 2330747.0]
[2026-07-06 08:32:20] Node: sta6 | alpha: 5.095e-09 | cpu_voltage: 0.69 | freq: [2624127.5, 2580741.0]
[2026-07-06 08:32:20] Node: sta7 | alpha: 5.056e-09 | cpu_voltage: 0.6966666666666667 | freq: [1960673.5, 2259111.5]
