[2026-07-06 08:52:59] Node: sta0 | alpha: 5.128e-09 | cpu_voltage: 0.69 | freq: [1966612.0, 2088742.0]
[2026-07-06 08:52:59] Node: sta1 | alpha: 5.06e-09 | cpu_voltage: 0.69 | freq: [1735171.0, 1927202.0]
[2026-07-06 08:52:59] Node: sta2 | alpha: 5.08e-09 | cpu_voltage: 0.69 | freq: [3345742.0, 3151647.0]
[2026-07-06 08:53:00] Node: sta3 | alpha: 5.185e-09 | cpu_voltage: 0.6966666666666667 | freq: [2299972.0, 2072924.0]
[2026-07-06 08:53:00] Node: sta4 | alpha: 5.133e-09 | cpu_voltage: 0.7033333333333333 | freq: [3700000.0, 3393682.0]
[2026-07-06 08:53:00] Node: sta5 | alpha: 5.119e-09 | cpu_voltage: 0.7033333333333333 | freq: [2391157.0, 2461129.0]
[2026-07-06 08:53:01] Node: sta6 | alpha: 5.095e-09 | cpu_voltage: 0.6933333333333334 | freq: [2700000.0, 1890252.0]
[2026-07-06 08:53:01] Node: sta7 | alpha: 5.056e-09 | cpu_voltage: 0.6933333333333334 | freq: [2000000.0, 2108683.0]
[2026-07-06 08:53:01] Node: sta8 | alpha: 4.879e-09 | cpu_voltage: 0.6900000000000001 | freq: [2799678.0, 2529903.0]
[2026-07-06 08:53:02] Node: sta9 | alpha: 4.795e-09 | cpu_voltage: 0.7000000000000001 | freq: [3501683.0, 3191462.0]
[2026-07-06 08:53:02] Node: sta10 | alpha: 4.912e-09 | cpu_voltage: 0.6933333333333334 | freq: [3801362.0, 3003811.0]
[2026-07-06 08:53:02] Node: sta0 | alpha: 5.128e-09 | cpu_voltage: 0.6966666666666667 | freq: [1800032.0, 2044714.5]
[2026-07-06 08:53:03] Node: sta1 | alpha: 5.06e-09 | cpu_voltage: 0.69 | freq: [1767585.5, 1801340.5]
[2026-07-06 08:53:03] Node: sta2 | alpha: 5.08e-09 | cpu_voltage: 0.6966666666666667 | freq: [3472871.0, 2945103.0]
[2026-07-06 08:53:03] Node: sta3 | alpha: 5.185e-09 | cpu_voltage: 0.6933333333333334 | freq: [2299963.5, 2045943.0]
[2026-07-06 08:53:04] Node: sta4 | alpha: 5.133e-09 | cpu_voltage: 0.7000000000000001 | freq: [3641386.0, 3399226.5]
[2026-07-06 08:53:04] Node: sta5 | alpha: 5.119e-09 | cpu_voltage: 0.6933333333333334 | freq: [2395563.0, 2430648.5]
[2026-07-06 08:53:04] Node: sta6 | alpha: 5.095e-09 | cpu_voltage: 0.6966666666666667 | freq: [2700000.0, 2175048.5]
[2026-07-06 08:53:05] Node: sta7 | alpha: 5.056e-09 | cpu_voltage: 0.6966666666666667 | freq: [2000014.5, 2359452.5]
[2026-07-06 08:53:05] Node: sta8 | alpha: 4.879e-09 | cpu_voltage: 0.7033333333333333 | freq: [3580125.5, 3370953.5]
[2026-07-06 08:53:05] Node: sta9 | alpha: 4.795e-09 | cpu_voltage: 0.71 | freq: [3573634.0, 3496241.0]
[2026-07-06 08:53:06] Node: sta10 | alpha: 4.912e-09 | cpu_voltage: 0.71 | freq: [3958002.0, 3402437.5]
[2026-07-06 08:53:06] Node: sta0 | alpha: 5.128e-09 | cpu_voltage: 0.71 | freq: [1866688.0, 2530071.3333333335]
[2026-07-06 08:53:06] Node: sta1 | alpha: 5.06e-09 | cpu_voltage: 0.71 | freq: [1748031.0, 2056469.6666666667]
[2026-07-06 08:53:07] Node: sta2 | alpha: 5.08e-09 | cpu_voltage: 0.71 | freq: [3515232.6666666665, 3130406.0]
[2026-07-06 08:53:07] Node: sta3 | alpha: 5.185e-09 | cpu_voltage: 0.71 | freq: [2273122.6666666665, 2224207.0]
[2026-07-06 08:53:08] Node: sta4 | alpha: 5.133e-09 | cpu_voltage: 0.71 | freq: [3660924.0, 3339117.0]
[2026-07-06 08:53:08] Node: sta5 | alpha: 5.119e-09 | cpu_voltage: 0.71 | freq: [2397042.0, 2420594.6666666665]
[2026-07-06 08:53:08] Node: sta6 | alpha: 5.095e-09 | cpu_voltage: 0.71 | freq: [2700000.0, 2348424.6666666665]
[2026-07-06 08:53:09] Node: sta7 | alpha: 5.056e-09 | cpu_voltage: 0.7000000000000001 | freq: [2000009.6666666667, 2239729.3333333335]
[2026-07-06 08:53:09] Node: sta8 | alpha: 4.879e-09 | cpu_voltage: 0.7000000000000001 | freq: [3342080.6666666665, 3128691.0]
[2026-07-06 08:53:09] Node: sta9 | alpha: 4.795e-09 | cpu_voltage: 0.6900000000000001 | freq: [3549447.6666666665, 3520487.0]
[2026-07-06 08:53:10] Node: sta10 | alpha: 4.912e-09 | cpu_voltage: 0.6900000000000001 | freq: [3920602.0, 3181368.0]
[2026-07-06 08:53:10] Node: sta0 | alpha: 5.128e-09 | cpu_voltage: 0.6900000000000001 | freq: [1874383.3333333333, 3000903.6666666665]
[2026-07-06 08:53:10] Node: sta1 | alpha: 5.06e-09 | cpu_voltage: 0.7000000000000001 | freq: [1769640.6666666667, 2147540.6666666665]
[2026-07-06 08:53:11] Node: sta2 | alpha: 5.08e-09 | cpu_voltage: 0.71 | freq: [3599973.3333333335, 3084858.6666666665]
[2026-07-06 08:53:11] Node: sta3 | alpha: 5.185e-09 | cpu_voltage: 0.71 | freq: [2273141.3333333335, 2630290.0]
[2026-07-06 08:53:11] Node: sta4 | alpha: 5.133e-09 | cpu_voltage: 0.71 | freq: [3652756.6666666665, 3408271.3333333335]
[2026-07-06 08:53:12] Node: sta5 | alpha: 5.119e-09 | cpu_voltage: 0.7066666666666667 | freq: [2362639.6666666665, 2607039.3333333335]
[2026-07-06 08:53:12] Node: sta6 | alpha: 5.095e-09 | cpu_voltage: 0.7033333333333333 | freq: [2700000.0, 2795161.6666666665]
[2026-07-06 08:53:13] Node: sta7 | alpha: 5.056e-09 | cpu_voltage: 0.6999999999999998 | freq: [2000009.6666666667, 2542118.6666666665]
[2026-07-06 08:53:13] Node: sta8 | alpha: 4.879e-09 | cpu_voltage: 0.6999999999999998 | freq: [3742822.3333333335, 3575081.6666666665]
[2026-07-06 08:53:13] Node: sta9 | alpha: 4.795e-09 | cpu_voltage: 0.6999999999999998 | freq: [3858562.6666666665, 3824087.0]
[2026-07-06 08:53:14] Node: sta10 | alpha: 4.912e-09 | cpu_voltage: 0.6999999999999998 | freq: [3935979.6666666665, 3487900.6666666665]
[2026-07-06 08:53:14] Node: sta0 | alpha: 5.128e-09 | cpu_voltage: 0.6999999999999998 | freq: [1996566.0, 3410571.0]
[2026-07-06 08:53:15] Node: sta1 | alpha: 5.06e-09 | cpu_voltage: 0.6999999999999998 | freq: [1769647.3333333333, 2506003.3333333335]
[2026-07-06 08:53:15] Node: sta2 | alpha: 5.08e-09 | cpu_voltage: 0.6999999999999998 | freq: [3600007.6666666665, 3236760.6666666665]
[2026-07-06 08:53:15] Node: sta3 | alpha: 5.185e-09 | cpu_voltage: 0.7033333333333333 | freq: [2273147.6666666665, 2885039.6666666665]
[2026-07-06 08:53:16] Node: sta4 | alpha: 5.133e-09 | cpu_voltage: 0.7066666666666667 | freq: [3654522.3333333335, 3313376.0]
[2026-07-06 08:53:16] Node: sta5 | alpha: 5.119e-09 | cpu_voltage: 0.7066666666666667 | freq: [2362658.6666666665, 2840232.0]
[2026-07-06 08:53:16] Node: sta6 | alpha: 5.095e-09 | cpu_voltage: 0.7033333333333333 | freq: [2699919.0, 2952973.0]
[2026-07-06 08:53:17] Node: sta7 | alpha: 5.056e-09 | cpu_voltage: 0.6999999999999998 | freq: [1973578.0, 2488773.3333333335]
[2026-07-06 08:53:17] Node: sta8 | alpha: 4.879e-09 | cpu_voltage: 0.6999999999999998 | freq: [3584230.6666666665, 3493245.0]
[2026-07-06 08:53:17] Node: sta9 | alpha: 4.795e-09 | cpu_voltage: 0.6999999999999998 | freq: [3876456.6666666665, 3966582.6666666665]
[2026-07-06 08:53:18] Node: sta10 | alpha: 4.912e-09 | cpu_voltage: 0.6999999999999998 | freq: [3831480.3333333335, 3533930.6666666665]
[2026-07-06 08:53:18] Node: sta0 | alpha: 5.128e-09 | cpu_voltage: 0.7033333333333333 | freq: [1996572.6666666667, 3182512.0]
[2026-07-06 08:53:18] Node: sta1 | alpha: 5.06e-09 | cpu_voltage: 0.7033333333333333 | freq: [1767080.3333333333, 2681486.3333333335]
