,sta0_datasz,sta10_datasz,sta2_datasz,sta3_datasz,sta1_datasz,sta4_datasz,sta5_datasz,sta8_datasz,sta9_datasz,sta6_datasz,sta7_datasz,host_consumption_sta4,training_time_sta4,host_consumption_sta8,training_time_sta8,host_consumption_sta6,training_time_sta6,host_consumption_sta5,training_time_sta5,host_consumption_sta7,training_time_sta7,consumption_sta8,consumption_sta4,consumption_sta10,consumption_sta6,consumption_sta9,consumption_sta2,consumption_sta0,consumption_sta7,consumption_sta5,consumption_sta3,consumption_sta1,mean_acc,host_consumption_sta1,training_time_sta1,host_consumption_sta0,training_time_sta0,host_consumption_sta2,training_time_sta2,host_consumption_sta3,training_time_sta3
0,747441792.0,748451712.0,1127121216.0,1047892992.0,683362368.0,436739904.0,1134796608.0,352007616.0,1101267264.0,996387072.0,1025018304.0,160639543.0,3.969893455505371,184639359.0,4.724153995513916,358927121.0,10.541455507278442,405244263.0,12.385864973068237,411015489,12.661497592926025,550.2028107945556,650.290541422229,654.038787018437,517.7803193706834,665.8106167008373,510.20642729925356,442.7913563218733,430.1032652709809,479.08935853468887,411.68384969166954,341.136257898708,0.4748838408426805,,,,,,,,
1,,,,,,,,,,,,,,,,,,560489593.0,13.512762308120728,558120398,13.422009706497192,942.24624515999,1058.4811403245383,1054.6004480153108,865.5934842546664,1068.588405723651,900.0385477215282,801.0624589347044,766.0934266476671,864.4655404292654,742.0838952082281,625.7437235695759,0.6494709131392565,437268595.0,9.394965887069702,443872154.0,9.543317556381226,462349708.0,10.020428657531738,524859496.0,12.097784042358398
2,,,,,,,,,,,,,,,,457063527.0,11.119181394577026,512528779.0,13.040056467056274,511964815,13.014702796936035,1311.655815752076,1352.8397140201037,1503.5757186864723,1220.2025432269556,1492.4819101240232,1281.9906214831883,1053.4950521718254,1100.954574480189,1244.1220543796544,1111.7851686803883,951.2514120105591,0.6952452185479078,423074173.0,10.164790391921997,432417838.0,10.392649173736572,,,525735104.0,13.64778757095337
3,,,,,,,,,,,,,,,,394528348.0,10.860163927078247,,,447080704,13.006981372833252,1704.7739998522818,1655.6232221371163,1854.617336159778,1629.2692579380107,1897.2312564729189,1555.9940119137495,1370.4179448273535,1451.8257189212927,1594.8812076211173,1462.2985821897948,1266.6344110522987,0.6530515892769803,366281106.0,9.953403234481812,372567405.0,10.137409210205078,,,458225206.0,13.536039590835571
4,,,,,,,,,,,,,,,,,,,,500949890,14.388821840286255,2114.0687717767782,1917.1453667806697,2275.3901959461045,1959.1353374643902,2312.549044433796,1965.560075307032,1720.6941546964713,1766.9209511984707,1867.3714829008472,1849.32142553311,1622.023610964121,0.7272513438312506,367844700.0,8.713696241378784,367416906.0,8.720709800720215,394253690.0,9.454870223999023,439747470.0,11.268327951431274
5,,,,,,,,,,,,173715070.0,3.6892499923706055,,,,,491292199.0,12.822848796844482,492359396,12.862588882446289,2498.5159030601435,2306.133659759367,2703.8218696743647,2240.437452432505,2728.4874169585314,2360.5246691825273,2056.6468938803123,2108.762945090044,2209.1849430808484,2213.5500275008276,1935.2947824659007,0.8060145554217425,405771666.0,9.950304985046387,414446266.0,10.201216459274292,,,506334214.0,13.50495719909668
6,,,,,,,,,,,,,,,,457562671.0,11.097869873046875,512762481.0,12.993224382400513,513842068,13.040057897567749,2891.0295449198575,2714.2264336544968,3139.3809682874376,2581.0925506836675,3039.968672061565,2639.443499259479,2366.890243571834,2452.8450764453464,2574.6549531395567,2562.8700097534656,2242.0687956010142,0.8016498373313383,424872875.0,10.182122230529785,431754510.0,10.360672235488892,,,525702694.0,13.58763861656189
7,,,,,,,,,,,,,,,,565527788.0,11.297994136810303,616185617.0,13.194243907928467,617843328,13.253923892974854,3312.464278526403,3002.293117080454,3576.135959305534,2989.3857957802156,3573.59751177795,3054.1138998630026,2714.901485887653,2793.5544087927815,2952.6754019422083,2964.580946187842,2589.600178398877,0.8367588398131457,479558281.0,9.13009762763977,494279374.0,9.430501937866211,520194347.0,10.000693321228027,586649072.0,12.029474973678589
8,,,,,,,,,,,,197858014.0,3.7952451705932617,,,489095977.0,10.6956627368927,546906376.0,12.670671701431274,552390187,12.893604278564453,3749.909541211737,3423.1512305772885,4074.293210043012,3426.8341123254804,3996.0006975057972,3444.8709109267265,3060.548034554026,3158.218330618029,3347.0814812708804,3338.1992523555705,2907.8127666941336,0.8713460754264485,469626300.0,10.19757890701294,481556934.0,10.49848198890686,,,572056152.0,13.786670446395874
9,,,,,,,,,,,,243293078.0,4.005384683609009,,,599240958.0,11.00656795501709,656079070.0,12.993017673492432,658984030,13.129446268081665,4174.943588850897,3958.1729934168693,4652.321426679564,3852.1079953643066,4418.732276706591,3864.361161019217,3397.8605175356483,3526.0443841178776,3757.3587226031736,3735.251983174656,3259.6325048829217,0.9033260643482208,529899523.0,9.338671922683716,544026257.0,9.611336469650269,571073123.0,10.186869621276855,636723712.0,12.237807989120483
