,sta0_datasz,sta1_datasz,sta2_datasz,sta10_datasz,sta4_datasz,sta3_datasz,sta5_datasz,sta6_datasz,sta8_datasz,sta9_datasz,sta7_datasz,host_consumption_sta4,training_time_sta4,host_consumption_sta8,training_time_sta8,host_consumption_sta1,training_time_sta1,host_consumption_sta2,training_time_sta2,host_consumption_sta6,training_time_sta6,host_consumption_sta7,training_time_sta7,consumption_sta4,consumption_sta8,consumption_sta10,consumption_sta2,consumption_sta9,consumption_sta0,consumption_sta6,consumption_sta1,consumption_sta3,consumption_sta5,consumption_sta7,mean_acc,host_consumption_sta0,training_time_sta0,host_consumption_sta5,training_time_sta5,host_consumption_sta3,training_time_sta3
0,747441792.0,683362368.0,1127121216.0,748451712.0,436739904.0,1047892992.0,1134796608.0,996387072.0,352007616.0,1101267264.0,1025018304.0,196941879.0,4.058374643325806,234988717.0,4.9699437618255615,389873209,8.969114542007446,420390281.0,9.851458072662354,441371795.0,10.644947052001953,490536891,13.096312284469604,807.0255018093493,679.2432564521785,662.7089795369682,762.8513717502308,666.796769145203,508.3329223380762,635.8650893437848,434.9818794795043,545.169061547189,528.6738400174565,521.4814509141331,0.5884264937855981,,,,,,
1,,,,,,,,,,,,,,,,354333138,9.908725261688232,,,,,450847906,13.204724073410034,1225.8691594283218,1031.666848236313,1075.484402716452,1129.1648834421537,1099.4388018229338,807.5337473855452,997.5935014894834,751.01352029948,900.4799458659332,844.0849134323649,771.359866236487,0.4937756401169198,383650751.0,10.835057973861694,463094273.0,13.70535135269165,465300505.0,13.791902303695679
2,,,,,,,,,,,,,,,,354964607,9.864936351776123,,,,,449078745,13.049877643585205,1443.9690430580126,1455.8003064057248,1516.3403809532651,1415.3568175463317,1486.3238526048754,1136.459209046995,1253.536833178792,1056.0128679904744,1252.7048006688344,1120.3126723991738,1103.780514591508,0.611783118410544,364427351.0,10.156235933303833,455833428.0,13.311941146850586,458412584.0,13.437204837799072
3,,,,,,,,,,,,,,,,416789887,10.00653862953186,,,456305960.0,11.041818857192993,514254299,13.01697850227356,1795.311436701827,1864.950149910587,1963.099005047736,1762.434588128157,1869.4136491609506,1456.1740084288137,1606.926445135816,1355.8462083466836,1601.772226014507,1495.0971298899624,1449.9365826453907,0.6885127110237425,434383348.0,10.434564113616943,514220180.0,13.012316703796387,528062369.0,13.66507077217102
4,,,,,,,,,,,,,,,,414632484,10.006624221801758,,,449482187.0,10.962071180343628,510197852,13.025597333908081,2168.335617243663,2286.252231476292,2369.2823001491297,2111.086414480158,2257.3482909122536,1770.5238659566576,2014.6383492170748,1651.671924060379,1949.232638839693,1876.3860529700053,1801.1025073912365,0.7046125627715479,429253540.0,10.39595651626587,511226902.0,13.059149503707886,523158207.0,13.599362134933472
5,,,,,,,,,,,,,,,,415647557,9.934308528900146,,,455596246.0,11.045701265335083,514962976,13.033017635345459,2529.2895615728844,2688.245658618827,2780.4119633228443,2366.637111899963,2643.1773480146585,2092.59405804976,2426.747568151916,1951.5742260790878,2209.367209830434,2255.4562403590376,2160.2985595680857,0.728231454776092,430444760.0,10.343257427215576,511786043.0,12.911422491073608,526622065.0,13.56719422340393
6,,,,,,,,,,,,,,,,408626334,8.677449226379395,451703189.0,9.708884000778198,,,551182243,13.379154920578003,2812.9024983170784,3070.2913669786203,3210.507638769379,2780.6656048643417,3052.7940599018048,2453.106287519288,2774.4496157513054,2322.7910979761377,2586.8645083810543,2627.6391629613445,2505.035818377334,0.7945157573981718,424368848.0,9.022417306900024,553735094.0,13.476068496704102,508929666.0,11.658277988433838
7,,,,,,,,,,,,,,,,354672798,9.822845697402954,,,,,452423647,13.141679048538208,3098.0311875851485,3447.161945598398,3598.6424422522755,3204.481856542866,3462.0609160091044,2786.8376321962523,3067.4586325369173,2577.2188359980396,2970.5775223521005,3002.952632421688,2843.5917715645755,0.8117942837151614,364292951.0,10.112730503082275,457752856.0,13.35038709640503,459441024.0,13.426177263259888
8,,,,,,,,,,,,,,,,423613295,10.031780242919922,,,460113263.0,11.008785724639893,516326193,13.003081321716309,3396.526935888475,3825.892230704773,4010.7142965941,3480.8848764908776,3874.5826159030094,3052.1157882177836,3422.6632966009006,2876.883587013087,3321.948662050795,3385.1290473729523,3185.397804893743,0.8187055479396473,436170758.0,10.352441549301147,515910850.0,12.986562967300415,528696644.0,13.573553562164307
9,,,,,,,,,,,,196493210.0,3.769415855407715,,,466497890,10.052245616912842,,,488680878.0,10.612066984176636,552621022,12.785913467407227,3815.808857998372,4197.161318152877,4443.31059241805,3764.30743988402,4285.108775411518,3464.977602082863,3849.5307797074556,3174.488923978369,3672.5874819105798,3786.119860106195,3529.559016096266,0.8588927415284243,481546436.0,10.441716432571411,550708490.0,12.713235139846802,573897029.0,13.763311386108398
10,,,,,,,,,,,,212901066.0,3.8082656860351562,,,455220026,8.836405277252197,497665535.0,9.839795112609863,,,586734887,13.048012495040894,4332.160120865908,4640.494678526983,4878.954812993253,4170.8265439003235,4679.029613881022,3835.485321745119,4216.570817030015,3502.1347104130887,4068.527453270044,4197.326152637455,3892.4301896410398,0.9090507951649752,469424702.0,9.142630815505981,587706015.0,13.080044269561768,555347760.0,11.789037466049194
11,,,,,,,,,,,,,,,,465193633,8.943230390548706,513646024.0,9.975402593612671,555528119.0,11.192173480987549,609891322,13.171458005905151,4730.408024336043,5010.888904381192,5339.921682725426,4668.618875560917,5054.648679468264,4202.037534511388,4572.7921315522,3862.245437288922,4485.41933108066,4583.410414049559,4235.89336670933,0.917415049943057,486383765.0,9.379413366317749,611232383.0,13.22305965423584,580742349.0,11.99697232246399
12,,,,,,,,,,,,,,,,418855923,10.020736694335938,,,454510738.0,11.01461124420166,512319123,12.998401165008545,5035.612497911399,5405.272126596863,5792.409078128829,5113.951325483047,5457.7694323370415,4479.946293014443,4993.129269721126,4186.127419289522,4863.887212227044,4974.081121496591,4588.743963184416,0.8850578286431052,432592215.0,10.390335321426392,513669889.0,13.041269540786743,526310848.0,13.625493288040161
13,,,,,,,,,,,,,,,,356891970,9.8910551071167,,,,,452984558,13.169836521148682,5340.6546598498335,5805.1964549791455,6135.380407219219,5392.503165038091,5784.128054151719,4800.236581737956,5343.202498733787,4479.62518316438,5220.420779760834,5354.765525094916,4916.773436955742,0.867678241296248,366220071.0,10.175605058670044,456542838.0,13.294833898544312,457742663.0,13.347897291183472
14,,,,,,,,,,,,,,,,300830346,9.61157488822937,,,,,408265007,14.284514904022217,5622.341674223868,6205.779916031458,6576.812144856769,5679.528844171837,6366.161665516996,5126.312842076829,5596.349348570544,4782.209640333342,5574.3573368749685,5678.392575834911,5222.4730192434245,0.8694395016540181,310902646.0,9.960093975067139,,,384010553.0,13.058803081512451
15,,,,,,,,,,,,173292952.0,3.6686978340148926,,,404819948,9.864956140518188,,,420488914.0,10.332978248596191,480319510,12.772024393081665,6026.461340252666,6609.6336913578925,7033.471683160788,5951.655748706132,6715.843036349821,5449.102499951197,5942.017581649385,5082.625442712948,5916.038613647206,5986.334956308036,5573.1756507514865,0.8828522969375957,414693091.0,10.146581888198853,,,494488541.0,13.44949984550476
16,,,,,,,,,,,,,,,,468759847,9.028382778167725,515825095.0,10.045577764511108,557571631.0,11.201756238937378,612002095,13.227809190750122,6449.134395575627,7000.5785712824845,7481.073809604193,6360.123555991348,7162.56317458309,5826.60212675433,6350.849739290111,5444.672450647727,6319.841944056317,6327.057714360717,5912.1114603814,0.9249255006963556,487074376.0,9.39952564239502,613601090.0,13.299314975738525,581925329.0,12.025691032409668
17,,,,,,,,,,,,,,,,464074618,8.955538034439087,513263274.0,10.00365138053894,556022624.0,11.177114248275757,610446557,13.179937601089478,6876.870851691677,7565.00230241882,8082.474343161985,7138.246630769368,7824.188850209843,6394.886525490431,6871.608455087807,5982.532522662675,6949.200324830555,6901.2708230432945,6344.855793535685,0.9304475296627391,483163070.0,9.334415912628174,612069478.0,13.244749069213867,734986644.0,20.641300678253174
18,,,,,,,,,,,,196974776.0,3.783357858657837,,,465912930,10.141252517700195,,,480955189.0,10.52121114730835,547522280,12.79068636894226,7340.146442375553,7950.0632645685855,8506.457650553479,7500.08203409763,8239.865842134966,6712.096905055925,7300.277464373253,6281.749264979939,7304.109844821245,7214.7266500457135,6710.6916078859185,0.913142675703222,476701660.0,10.412467241287231,544518320.0,12.677500486373901,563368431.0,13.572001695632935
19,,,,,,,,,,,,195658984.0,3.771413564682007,,,466633143,10.14802622795105,,,482683884.0,10.560328006744385,550607782,12.841105222702026,7752.186434632505,8340.978686382487,8933.552022392849,7767.507615204401,8613.138021894189,7039.279718193456,7732.541231352907,6582.388472211679,7648.776105529674,7618.927347774521,7082.889328854906,0.9107374007051642,477700804.0,10.436172008514404,548404663.0,12.764976024627686,566025162.0,13.609493494033813
20,,,,,,,,,,,,,,,,416354403,9.98718547821045,,,454457272.0,10.987958908081055,513972073,12.988223791122437,8231.675205737327,8782.69237818792,9307.13107727799,8043.9630953347105,8989.957739776552,7366.326503561073,8157.981187712003,6882.6393087605575,8001.705750544015,8007.425990246375,7429.259847407684,0.9033112905242227,432504020.0,10.396121263504028,514957117.0,13.02027440071106,525370543.0,13.491257667541504
21,,,,,,,,,,,,,,,,412006636,8.702461004257202,452516663.0,9.747810125350952,,,550023799,13.382288932800293,8587.342930672501,9168.119646428584,9688.975307447576,8517.598893082655,9389.309125695814,7711.595792262668,8505.146310021733,7217.854676977133,8419.657063298717,8386.742870735727,7771.286611673726,0.9290879639712247,425722360.0,9.021976470947266,552766652.0,13.487449645996094,506115525.0,11.638295650482178
22,,,,,,,,,,,,,,,,354200265,9.793956756591797,,,,,453465025,13.201914072036743,9090.906553926148,9689.45197377581,10180.766169741959,8998.686802116503,9913.567950989442,8130.600746970769,8920.611426158366,7602.207122242113,8888.394758625629,8942.456895316363,8259.880577573555,0.9109560576352206,364527021.0,10.100407600402832,573717648.0,20.600038051605225,460472148.0,13.472906351089478
23,,,,,,,,,,,,,,,,415017126,10.023639917373657,,,451416813.0,11.043185949325562,508345073,13.048693656921387,9377.835663608072,10116.479254897786,10602.677078866956,9266.878455866537,10374.691877252302,8445.854355664409,9292.19412700964,7896.701678668661,9234.29696494459,9325.602153685404,8590.247218349983,0.9084453257647428,426785040.0,10.350119590759277,507160323.0,12.999675273895264,519605970.0,13.561366319656372
24,,,,,,,,,,,,,,,,416535005,8.661205768585205,459512923.0,9.700145244598389,494036821.0,10.835247278213501,546579167,13.2783362865448,9675.618102295663,10513.91643571079,10976.575580802226,9685.118187789132,10813.760238004887,8818.632079799247,9725.750138016268,8239.91408196862,9632.016052217923,9655.437814321096,8942.328119787486,0.9291961193084717,432950918.0,9.030483484268188,,,514328212.0,11.639549493789673
25,,,,,,,,,,,,215513243.0,3.813633918762207,,,453944578,8.81828784942627,496223461.0,9.835657119750977,,,586303858,13.031757593154907,10063.741811420334,10905.241944689471,11384.354458274136,10225.559881801379,11237.67472256024,9212.455239339175,10118.28421261785,8619.85265888608,10035.896084433882,10033.98189040713,9301.6345373133,0.9487994855100458,469890582.0,9.183049201965332,585585537.0,12.992956161499023,556345378.0,11.807639360427856
26,,,,,,,,,,,,173117965.0,3.6792588233947754,,,399555251,9.872693538665771,,,,,486665258,12.803571462631226,10579.352783684975,11308.45544073431,11778.377237539713,10619.53678477177,11644.64344012897,9556.204147152877,10477.766450841735,8939.800920946906,10400.88039123449,10430.967659576927,9579.615295021413,0.9380291429432955,408352348.0,10.144577264785767,486646764.0,12.80042839050293,498888066.0,13.39411473274231
27,,,,,,,,,,,,,,,,417888823,9.985867261886597,,,453552672.0,10.93039584159851,642542789,20.649351119995117,11041.31590770075,11922.974927280404,12395.505234393007,10962.647510476889,12237.299923581417,10038.792932559387,10965.725383151646,9395.712295320607,10830.165923903007,10906.676319940123,10093.660463477665,0.9157932725819674,433552540.0,10.381356954574585,641824712.0,20.60917019844055,526338496.0,13.602702379226685
28,,,,,,,,,,,,,,,,465580901,8.950416326522827,511634005.0,9.93870210647583,553759080.0,11.145601987838745,609760036,13.192697763442993,11315.499242251315,12286.049559179848,12805.344091917297,11333.170120562456,12625.407179152573,10395.289238821333,11361.61558689855,9760.03836752256,11211.01501002251,11284.634590836991,10431.889844328629,0.9369347962466154,483061020.0,9.31027889251709,610596398.0,13.23063039779663,579939860.0,12.02318549156189
29,,,,,,,,,,,,211963020.0,3.811403274536133,,,451832217,8.83426570892334,495570387.0,9.900809288024902,,,584331634,13.098002433776855,11744.268505137565,12691.497913536545,13189.474759134277,11973.661790886377,12998.908996649589,10759.488550113056,11734.420845512472,10111.948147092791,11606.151867223925,11684.565386914428,10796.919690818688,0.9525647163391113,466820643.0,9.16986608505249,585509610.0,13.135807752609253,551694267.0,11.814334154129028
30,,,,,,,,,,,,198690837.0,3.7661709785461426,,,467075953,10.071036577224731,,,485015055.0,10.540146112442017,551389824,12.820447206497192,12256.206622438893,13101.269769124588,13578.196056630284,12364.322851012146,13355.692327085673,11104.088530117786,12106.887792819656,10432.346188751631,11972.052645760945,12085.011935237297,11159.77506158992,0.9511849338358099,481002736.0,10.442826986312866,548736510.0,12.716713428497314,567681652.0,13.613194942474365
31,,,,,,,,,,,,,,,,420749411,10.031877517700195,,,639939158.0,20.611571550369263,514106655,12.9930899143219,12846.28471511216,13692.684230687953,14064.296192361531,12779.341498917445,13822.630984844775,11504.876417439504,12724.86602112947,10799.414882149485,12491.064761880249,12665.836417625198,11688.659090234521,0.9174662828445435,431801202.0,10.335017919540405,514649745.0,13.014509439468384,526534480.0,13.560648918151855
32,,,,,,,,,,,,,,,,300955102,9.655231237411499,,,,,406052244,14.276494264602661,13093.125150734686,14121.766458952543,14499.879435097857,13048.234123264727,14282.683565219722,11826.07478301847,13037.387168198427,11094.166154070068,12839.716768171395,12989.021059845525,12003.714047038557,0.9117830504070629,309979981.0,9.967063188552856,,,382551389.0,13.052918195724487
33,,,,,,,,,,,,,,,,298905668,9.620869398117065,,,,,407428156,14.289204597473145,13347.646855382825,14464.023979252688,14924.59143614258,13325.989331331299,14733.55320390407,12147.639275112206,13341.617642477437,11393.22161976322,13192.846646377398,13252.135591120132,12322.577735851186,0.9071601195768877,309289369.0,9.98884129524231,,,380760988.0,12.952306270599365
34,,,,,,,,,,,,,,,,353405529,9.826778888702393,,,,,449314584,13.149173736572266,13614.906815083528,14891.692916001612,15380.01816326959,13603.936909678208,15140.123856457989,12475.651690505658,13555.767963854614,11696.22730136569,13544.82817136655,13565.202492094724,12571.102552202366,0.9132009256969799,363020799.0,10.11395788192749,454322568.0,13.3394296169281,457337209.0,13.466394901275635
35,,,,,,,,,,,,241938101.0,3.968219757080078,,,516346395,9.121788263320923,562635706.0,10.0735182762146,593612921.0,10.912622690200806,652261087,13.038254976272583,14094.5466318131,15302.190126351334,15797.656473443283,14009.18372708441,15542.320609846596,12837.12318757,14029.07801969891,12055.151070483404,13923.474170317544,13982.51878208495,12925.369685307538,0.954050291668285,535487399.0,9.500862121582031,652148843.0,13.032533168792725,631184908.0,12.170457363128662
36,,,,,,,,,,,,,,,,465274016,8.995904445648193,511177219.0,9.980520963668823,555876384.0,11.202686786651611,607754730,13.131365299224854,14510.72477764825,15720.172677116932,16228.908705046366,14538.560107077019,15963.220399236683,13224.741823739361,14449.61363577402,12426.162152080848,14346.81204931851,14360.575153460737,13273.076326851464,0.957970071922649,482758041.0,9.336659908294678,609586513.0,13.212982177734375,580081279.0,11.998147249221802
37,,,,,,,,,,,,,,,,417845855,10.030109643936157,,,453706603.0,10.99563455581665,513245696,13.03135347366333,14807.4268477426,16126.863525988168,16627.860643073644,14948.795423538704,16380.508828564985,13572.171366505027,14770.014509051562,12754.625732479626,14721.076819161479,14653.195414936337,13620.098846220752,0.9433818513696844,430564267.0,10.356801509857178,512240205.0,12.992810726165771,524138185.0,13.581936836242676
