[2026-07-09 18:03:58] Node: sta0 | alpha: 5.128e-09 | cpu_voltage: 1.02 | freq: [4235123.0, 4443456.0]
[2026-07-09 18:03:58] Node: sta1 | alpha: 5.06e-09 | cpu_voltage: 0.855 | freq: [4254980.0, 4602850.0]
[2026-07-09 18:03:58] Node: sta2 | alpha: 5.08e-09 | cpu_voltage: 0.7999999999999999 | freq: [4600000.0, 2511848.0]
[2026-07-09 18:03:59] Node: sta3 | alpha: 5.185e-09 | cpu_voltage: 0.7999999999999999 | freq: [4599945.0, 4344757.0]
[2026-07-09 18:03:59] Node: sta4 | alpha: 5.133e-09 | cpu_voltage: 0.7999999999999999 | freq: [4568660.0, 4609600.0]
[2026-07-09 18:03:59] Node: sta5 | alpha: 5.119e-09 | cpu_voltage: 0.7999999999999999 | freq: [4600067.0, 2647560.0]
[2026-07-09 18:03:59] Node: sta6 | alpha: 5.095e-09 | cpu_voltage: 0.7999999999999999 | freq: [4599943.0, 3986429.0]
[2026-07-09 18:04:00] Node: sta7 | alpha: 5.056e-09 | cpu_voltage: 0.91 | freq: [4600047.0, 4601201.0]
[2026-07-09 18:04:00] Node: sta8 | alpha: 4.879e-09 | cpu_voltage: 0.91 | freq: [4601575.0, 4599675.0]
[2026-07-09 18:04:00] Node: sta9 | alpha: 4.795e-09 | cpu_voltage: 0.91 | freq: [4601367.0, 3962933.0]
[2026-07-09 18:04:00] Node: sta10 | alpha: 4.912e-09 | cpu_voltage: 0.7999999999999999 | freq: [4601501.0, 3203693.0]
[2026-07-09 18:04:01] Node: sta0 | alpha: 5.128e-09 | cpu_voltage: 0.91 | freq: [4417561.5, 3774310.0]
[2026-07-09 18:04:01] Node: sta1 | alpha: 5.06e-09 | cpu_voltage: 0.7999999999999999 | freq: [4427490.0, 4601794.0]
[2026-07-09 18:04:01] Node: sta2 | alpha: 5.08e-09 | cpu_voltage: 0.91 | freq: [4599966.0, 3556401.0]
[2026-07-09 18:04:02] Node: sta3 | alpha: 5.185e-09 | cpu_voltage: 0.91 | freq: [4587331.5, 3997370.0]
[2026-07-09 18:04:02] Node: sta4 | alpha: 5.133e-09 | cpu_voltage: 1.02 | freq: [4584303.5, 3449848.0]
[2026-07-09 18:04:02] Node: sta5 | alpha: 5.119e-09 | cpu_voltage: 0.91 | freq: [4600033.5, 2584467.5]
[2026-07-09 18:04:02] Node: sta6 | alpha: 5.095e-09 | cpu_voltage: 0.91 | freq: [4599943.0, 3560509.5]
[2026-07-09 18:04:03] Node: sta7 | alpha: 5.056e-09 | cpu_voltage: 0.7999999999999999 | freq: [4600049.5, 4601277.5]
[2026-07-09 18:04:03] Node: sta8 | alpha: 4.879e-09 | cpu_voltage: 0.91 | freq: [4601408.5, 4093640.0]
[2026-07-09 18:04:03] Node: sta9 | alpha: 4.795e-09 | cpu_voltage: 0.7999999999999999 | freq: [4601210.0, 3888663.5]
[2026-07-09 18:04:03] Node: sta10 | alpha: 4.912e-09 | cpu_voltage: 0.7999999999999999 | freq: [4601172.5, 3448536.5]
[2026-07-09 18:04:04] Node: sta0 | alpha: 5.128e-09 | cpu_voltage: 0.7999999999999999 | freq: [4445041.0, 4049883.0]
[2026-07-09 18:04:04] Node: sta1 | alpha: 5.06e-09 | cpu_voltage: 0.91 | freq: [4479959.0, 4600196.666666667]
[2026-07-09 18:04:04] Node: sta2 | alpha: 5.08e-09 | cpu_voltage: 1.0166666666666666 | freq: [4599977.333333333, 3903681.0]
