,sta0_datasz,sta1_datasz,sta2_datasz,sta3_datasz,sta4_datasz,sta5_datasz,sta6_datasz,sta7_datasz,sta8_datasz,sta10_datasz,sta9_datasz,T,host_consumption_sta8,training_time_sta8,host_consumption_sta4,training_time_sta4,host_consumption_sta1,training_time_sta1,host_consumption_sta0,training_time_sta0,host_consumption_sta2,training_time_sta2,consumption_sta4,consumption_sta8,consumption_sta10,consumption_sta9,consumption_sta6,consumption_sta0,consumption_sta1,consumption_sta5,consumption_sta3,consumption_sta7,consumption_sta2,mean_acc,host_consumption_sta3,training_time_sta3,host_consumption_sta9,training_time_sta9,host_consumption_sta7,training_time_sta7,host_consumption_sta6,training_time_sta6,host_consumption_sta5,training_time_sta5,host_consumption_sta10,training_time_sta10
0,747441792.0,683362368.0,1127121216.0,1047892992.0,436739904.0,1134796608.0,996387072.0,1025018304.0,352007616.0,748451712.0,1101267264.0,2.481984807724228e-08,65966139.0,0.7324528694152832,63027671.0,0.7237069606781006,82600497.0,0.9607503414154053,86389000.0,1.025388479232788,102619611.0,1.3736352920532227,750.0675409907461,846.2057901929802,739.1740397785252,820.1924420705429,822.86725471869,1001.4466464949406,842.0724422383813,819.9387736564049,833.2583382552962,831.7346270591372,1043.568280640201,0.4583450007008981,,,,,,,,,,,,
1,,,,,,,,,,,,3.538621564275891e-08,30986554.0,0.4898502826690674,35688751.0,0.5797998905181885,,,,,,,1445.9842175370904,1337.1268678791507,1177.7292450505806,1216.8736008679268,1299.0110272802897,1328.2210520784731,1343.5230471720502,1303.2816298117689,1346.67629129409,1283.5197640465697,1454.729480965953,0.3820158446376974,74396233.0,1.2286391258239746,84519681.0,1.5146715641021729,107865630.0,2.4127538204193115,,,,,,
2,,,,,,,,,,,,3.926572443735752e-08,,,46317692.0,0.5558054447174072,57487219.0,0.7090854644775391,61471400.0,0.7683680057525635,,,1694.7761234874229,1756.9259089070383,1616.6909864805295,1631.1794534359465,1496.648420718024,1537.7715738330023,1540.77985008837,1494.771842616729,1684.866136735312,1460.9155100757712,1751.8716054126812,0.5113462480631742,,,,,75905811.0,1.0350370407104492,97468805.0,1.7790634632110596,,,,
3,,,,,,,,,,,,8.654670113818335e-08,,,46682071.0,0.47215700149536133,69042426.0,0.7207732200622559,,,,,2086.7117836959465,2107.751925769433,1957.3881247598963,2022.7129716685442,1867.0247680206967,1871.675061008578,1698.8633848946615,1782.1305064392186,1879.747236026601,1856.9508690255684,1983.6400604176317,0.6475240561095151,98226983.0,1.0596318244934082,,,,,99756031.0,1.0692832469940186,112429461.0,1.3305974006652832,,
4,,,,,,,,,,,,4.5971648264227074e-08,,,31137188.0,0.45288968086242676,74331657.0,1.2982304096221924,76892381.0,1.3633301258087158,79293620.0,1.4343793392181396,2556.933105423341,2408.2729978186967,2224.822409142015,2288.627250464433,2273.526185740789,2030.0695848391808,2055.482601751175,2164.480394898979,2254.454016252401,2079.6562393951967,2346.419888704331,0.706850712404544,,,,,61642481.0,0.972620964050293,,,,,,
5,,,,,,,,,,,,5.268752715333158e-08,,,44991462.0,0.5714151859283447,58335056.0,0.7481639385223389,,,91089184.0,1.3862650394439697,2853.003296687446,2643.8898258845065,2634.899914303674,2689.8613140169646,2450.2570645381306,2291.4174005926566,2301.919958979699,2323.7983011538745,2477.0112217780247,2236.0068167683444,2727.2188816008475,0.7234478145837784,,,,,,,91361094.0,1.425644874572754,80912025.0,1.1102972030639648,,
6,,,,,,,,,,,,7.172753513321865e-08,41258196.0,0.4916367530822754,39924763.0,0.48914217948913574,76491808.0,1.3279447555541992,58838899.0,0.8114855289459229,,,3255.658703054175,2970.344293832668,2998.788150943224,3031.110064690109,2755.384549271219,2503.5427303272927,2628.98721587915,2592.0373685686955,2666.3088536876926,2512.4547992447547,2989.866973341364,0.8035070408474315,89454971.0,1.7813811302185059,,,93697148.0,2.006206750869751,,,,,,
7,,,,,,,,,,,,6.361735013091637e-08,,,,,,,84521879.0,1.6307849884033203,,,3712.916423240911,3270.4359175728073,3242.843420355594,3280.9935629085257,2953.861645892066,2681.276491483828,2810.3918605604667,2864.574772106046,2980.6115104327396,2707.7650713573844,3406.5461809708377,0.7590798803351142,,,,,66225905.0,0.984560489654541,64522601.0,0.9581756591796875,86567344.0,1.7081165313720703,,
8,,,,,,,,,,,,4.5010171290328446e-08,50954032.0,0.5046103000640869,59537567.0,0.6152384281158447,70166019.0,0.752810001373291,101106858.0,1.2723534107208252,,,3984.86611871676,3607.1935723474294,3571.4633535766607,3636.0536924238577,3245.5339386133187,2929.2278454498346,3026.3247027315842,3071.445765732676,3167.0788701722827,2946.7966933663665,3616.197841409583,0.7698664082722231,94573549.0,1.0876901149749756,,,,,89636855.0,1.0107762813568115,,,,
9,,,,,,,,,,,,5.534685699356671e-08,,,45079963.0,0.6054928302764893,50959464.0,0.7098796367645264,,,71969970.0,1.097320318222046,4390.99041218779,3952.2247178790003,3937.010638912804,3980.694632317774,3635.506400886173,3087.2544275562777,3171.571007536497,3390.9510560321864,3449.1108601913065,3174.7155280366887,3955.203140729658,0.7880908223715696,86853110.0,1.6301136016845703,,,94593691.0,2.0167295932769775,,,,,,
