[2026-07-10 12:18:44] Node: sta0 | alpha: 5.128e-09 | cpu_voltage: 1.02 | freq: [4509582.0, 4599330.0]
[2026-07-10 12:18:44] Node: sta1 | alpha: 5.06e-09 | cpu_voltage: 0.855 | freq: [4600000.0, 4596417.0]
[2026-07-10 12:18:44] Node: sta2 | alpha: 5.08e-09 | cpu_voltage: 0.7999999999999999 | freq: [4538246.0, 4601568.0]
[2026-07-10 12:18:45] Node: sta3 | alpha: 5.185e-09 | cpu_voltage: 0.7999999999999999 | freq: [4600051.0, 4596310.0]
[2026-07-10 12:18:45] Node: sta4 | alpha: 5.133e-09 | cpu_voltage: 0.7999999999999999 | freq: [4584332.0, 1735568.0]
[2026-07-10 12:18:45] Node: sta5 | alpha: 5.119e-09 | cpu_voltage: 0.91 | freq: [4600000.0, 2840698.0]
[2026-07-10 12:18:45] Node: sta6 | alpha: 5.095e-09 | cpu_voltage: 0.7999999999999999 | freq: [4599941.0, 4317628.0]
[2026-07-10 12:18:46] Node: sta7 | alpha: 5.056e-09 | cpu_voltage: 0.91 | freq: [4600000.0, 3911135.0]
[2026-07-10 12:18:46] Node: sta8 | alpha: 4.879e-09 | cpu_voltage: 0.91 | freq: [4601248.0, 4601141.0]
[2026-07-10 12:18:46] Node: sta9 | alpha: 4.795e-09 | cpu_voltage: 0.91 | freq: [4601455.0, 4597637.0]
[2026-07-10 12:18:46] Node: sta10 | alpha: 4.912e-09 | cpu_voltage: 0.7999999999999999 | freq: [4601143.0, 4507615.0]
[2026-07-10 12:18:47] Node: sta0 | alpha: 5.128e-09 | cpu_voltage: 0.7966666666666665 | freq: [4554817.0, 3293332.5]
[2026-07-10 12:18:47] Node: sta1 | alpha: 5.06e-09 | cpu_voltage: 0.9066666666666666 | freq: [4600027.0, 4166195.0]
[2026-07-10 12:18:47] Node: sta2 | alpha: 5.08e-09 | cpu_voltage: 1.0166666666666666 | freq: [4569123.0, 4601285.0]
[2026-07-10 12:18:48] Node: sta3 | alpha: 5.185e-09 | cpu_voltage: 0.91 | freq: [4599993.5, 3581087.5]
[2026-07-10 12:18:48] Node: sta4 | alpha: 5.133e-09 | cpu_voltage: 0.7999999999999999 | freq: [4514718.5, 3167764.0]
[2026-07-10 12:18:48] Node: sta5 | alpha: 5.119e-09 | cpu_voltage: 0.69 | freq: [4599975.0, 3684208.5]
[2026-07-10 12:18:48] Node: sta6 | alpha: 5.095e-09 | cpu_voltage: 0.69 | freq: [4531411.0, 3938897.0]
[2026-07-10 12:18:49] Node: sta7 | alpha: 5.056e-09 | cpu_voltage: 0.69 | freq: [4548586.0, 3849143.0]
[2026-07-10 12:18:49] Node: sta8 | alpha: 4.879e-09 | cpu_voltage: 0.69 | freq: [4601912.0, 4599521.5]
