[2026-07-09 17:40:49] Node: sta0 | alpha: 5.128e-09 | cpu_voltage: 0.68 | freq: [4600000.0, 3879323.0]
[2026-07-09 17:40:49] Node: sta1 | alpha: 5.06e-09 | cpu_voltage: 0.685 | freq: [4538585.0, 4601127.0]
[2026-07-09 17:40:49] Node: sta2 | alpha: 5.08e-09 | cpu_voltage: 0.7999999999999999 | freq: [4599944.0, 3920042.0]
[2026-07-09 17:40:49] Node: sta3 | alpha: 5.185e-09 | cpu_voltage: 0.9166666666666666 | freq: [4599939.0, 4600319.0]
[2026-07-09 17:40:50] Node: sta4 | alpha: 5.133e-09 | cpu_voltage: 1.03 | freq: [4262895.0, 3542111.0]
[2026-07-09 17:40:50] Node: sta5 | alpha: 5.119e-09 | cpu_voltage: 1.03 | freq: [4600000.0, 2326162.0]
[2026-07-09 17:40:50] Node: sta6 | alpha: 5.095e-09 | cpu_voltage: 1.03 | freq: [4599948.0, 3436519.0]
[2026-07-09 17:40:51] Node: sta7 | alpha: 5.056e-09 | cpu_voltage: 0.9133333333333334 | freq: [4599942.0, 4601282.0]
[2026-07-09 17:40:51] Node: sta8 | alpha: 4.879e-09 | cpu_voltage: 0.7966666666666667 | freq: [4601324.0, 4601075.0]
[2026-07-09 17:40:51] Node: sta9 | alpha: 4.795e-09 | cpu_voltage: 0.7966666666666667 | freq: [4601092.0, 4601468.0]
[2026-07-09 17:40:51] Node: sta10 | alpha: 4.912e-09 | cpu_voltage: 0.7966666666666667 | freq: [4604865.0, 4600998.0]
[2026-07-09 17:40:52] Node: sta0 | alpha: 5.128e-09 | cpu_voltage: 0.91 | freq: [4599975.5, 4240162.5]
[2026-07-09 17:40:52] Node: sta1 | alpha: 5.06e-09 | cpu_voltage: 0.7933333333333333 | freq: [4569267.5, 4602353.5]
[2026-07-09 17:40:52] Node: sta2 | alpha: 5.08e-09 | cpu_voltage: 0.7933333333333333 | freq: [4599972.0, 4260563.0]
[2026-07-09 17:40:53] Node: sta3 | alpha: 5.185e-09 | cpu_voltage: 0.68 | freq: [4599969.5, 3699428.0]
[2026-07-09 17:40:53] Node: sta4 | alpha: 5.133e-09 | cpu_voltage: 0.7966666666666667 | freq: [4431447.5, 4073077.5]
[2026-07-09 17:40:53] Node: sta5 | alpha: 5.119e-09 | cpu_voltage: 0.9133333333333334 | freq: [4600000.0, 2662317.5]
[2026-07-09 17:40:53] Node: sta6 | alpha: 5.095e-09 | cpu_voltage: 1.03 | freq: [4600004.0, 4019081.5]
[2026-07-09 17:40:54] Node: sta7 | alpha: 5.056e-09 | cpu_voltage: 0.9133333333333334 | freq: [4599943.0, 3958906.0]
[2026-07-09 17:40:54] Node: sta8 | alpha: 4.879e-09 | cpu_voltage: 0.9133333333333334 | freq: [4601526.0, 4465346.0]
[2026-07-09 17:40:54] Node: sta9 | alpha: 4.795e-09 | cpu_voltage: 0.7966666666666667 | freq: [4601004.5, 4506595.0]
[2026-07-09 17:40:54] Node: sta10 | alpha: 4.912e-09 | cpu_voltage: 0.9133333333333334 | freq: [4603042.5, 4094541.5]
[2026-07-09 17:40:55] Node: sta0 | alpha: 5.128e-09 | cpu_voltage: 0.91 | freq: [4521864.0, 4193848.0]
[2026-07-09 17:40:55] Node: sta1 | alpha: 5.06e-09 | cpu_voltage: 1.0266666666666666 | freq: [4554443.0, 4525652.666666667]
[2026-07-09 17:40:55] Node: sta2 | alpha: 5.08e-09 | cpu_voltage: 1.0266666666666666 | freq: [4595412.0, 4344531.0]
[2026-07-09 17:40:56] Node: sta3 | alpha: 5.185e-09 | cpu_voltage: 1.03 | freq: [4583656.666666667, 3999504.6666666665]
[2026-07-09 17:40:56] Node: sta4 | alpha: 5.133e-09 | cpu_voltage: 1.03 | freq: [4454108.333333333, 4249201.333333333]
[2026-07-09 17:40:56] Node: sta5 | alpha: 5.119e-09 | cpu_voltage: 1.03 | freq: [4600000.0, 3308685.0]
[2026-07-09 17:40:57] Node: sta6 | alpha: 5.095e-09 | cpu_voltage: 1.03 | freq: [4473179.333333333, 4213309.333333333]
[2026-07-09 17:40:57] Node: sta7 | alpha: 5.056e-09 | cpu_voltage: 1.03 | freq: [4599945.333333333, 3989570.6666666665]
[2026-07-09 17:40:57] Node: sta8 | alpha: 4.879e-09 | cpu_voltage: 1.03 | freq: [4601527.0, 4209531.333333333]
[2026-07-09 17:40:58] Node: sta9 | alpha: 4.795e-09 | cpu_voltage: 1.03 | freq: [4601105.0, 4538158.333333333]
[2026-07-09 17:40:58] Node: sta10 | alpha: 4.912e-09 | cpu_voltage: 0.91 | freq: [4603931.333333333, 4263336.333333333]
[2026-07-09 17:40:58] Node: sta0 | alpha: 5.128e-09 | cpu_voltage: 0.79 | freq: [4521883.0, 4432886.333333333]
[2026-07-09 17:40:59] Node: sta1 | alpha: 5.06e-09 | cpu_voltage: 0.67 | freq: [4574894.333333333, 4344993.666666667]
[2026-07-09 17:40:59] Node: sta2 | alpha: 5.08e-09 | cpu_voltage: 0.67 | freq: [4595430.666666667, 3985694.6666666665]
[2026-07-09 17:40:59] Node: sta3 | alpha: 5.185e-09 | cpu_voltage: 0.79 | freq: [4583677.0, 3949662.3333333335]
[2026-07-09 17:40:59] Node: sta4 | alpha: 5.133e-09 | cpu_voltage: 0.91 | freq: [4566298.333333333, 4602237.333333333]
[2026-07-09 17:41:00] Node: sta5 | alpha: 5.119e-09 | cpu_voltage: 1.03 | freq: [4600000.0, 4067236.6666666665]
[2026-07-09 17:41:00] Node: sta6 | alpha: 5.095e-09 | cpu_voltage: 1.03 | freq: [4473196.666666667, 4289344.0]
[2026-07-09 17:41:00] Node: sta7 | alpha: 5.056e-09 | cpu_voltage: 1.03 | freq: [4599964.666666667, 3378251.0]
[2026-07-09 17:41:01] Node: sta8 | alpha: 4.879e-09 | cpu_voltage: 1.03 | freq: [4601650.666666667, 4208950.0]
[2026-07-09 17:41:01] Node: sta9 | alpha: 4.795e-09 | cpu_voltage: 1.03 | freq: [4603096.333333333, 3859796.3333333335]
[2026-07-09 17:41:01] Node: sta10 | alpha: 4.912e-09 | cpu_voltage: 1.03 | freq: [4602927.666666667, 4263427.666666667]
[2026-07-09 17:41:01] Node: sta0 | alpha: 5.128e-09 | cpu_voltage: 1.03 | freq: [4521883.666666667, 4342883.0]
[2026-07-09 17:41:02] Node: sta1 | alpha: 5.06e-09 | cpu_voltage: 0.91 | freq: [4574927.666666667, 4343908.666666667]
[2026-07-09 17:41:02] Node: sta2 | alpha: 5.08e-09 | cpu_voltage: 0.9566666666666667 | freq: [4799072.666666667, 3985879.3333333335]
[2026-07-09 17:41:02] Node: sta3 | alpha: 5.185e-09 | cpu_voltage: 1.0033333333333332 | freq: [4583677.0, 4550648.333333333]
[2026-07-09 17:41:03] Node: sta4 | alpha: 5.133e-09 | cpu_voltage: 1.18 | freq: [4562759.333333333, 4564738.333333333]
[2026-07-09 17:41:03] Node: sta5 | alpha: 5.119e-09 | cpu_voltage: 1.18 | freq: [4790854.666666667, 4601559.0]
[2026-07-09 17:41:03] Node: sta6 | alpha: 5.095e-09 | cpu_voltage: 1.1933333333333334 | freq: [3395466.3333333335, 4289651.333333333]
[2026-07-09 17:41:04] Node: sta7 | alpha: 5.056e-09 | cpu_voltage: 1.0133333333333334 | freq: [4887062.0, 3467812.0]
[2026-07-09 17:41:04] Node: sta8 | alpha: 4.879e-09 | cpu_voltage: 0.8433333333333334 | freq: [4251606.0, 4299874.0]
[2026-07-09 17:41:04] Node: sta9 | alpha: 4.795e-09 | cpu_voltage: 0.6633333333333334 | freq: [4263258.666666667, 3209960.3333333335]
[2026-07-09 17:41:05] Node: sta10 | alpha: 4.912e-09 | cpu_voltage: 0.68 | freq: [4279603.333333333, 4404448.666666667]
[2026-07-09 17:41:05] Node: sta0 | alpha: 5.128e-09 | cpu_voltage: 0.6966666666666667 | freq: [3714240.6666666665, 4011625.3333333335]
[2026-07-09 17:41:05] Node: sta1 | alpha: 5.06e-09 | cpu_voltage: 0.6966666666666667 | freq: [3666663.0, 3480711.0]
[2026-07-09 17:41:06] Node: sta2 | alpha: 5.08e-09 | cpu_voltage: 0.6833333333333332 | freq: [4464216.0, 3044053.0]
[2026-07-09 17:41:06] Node: sta3 | alpha: 5.185e-09 | cpu_voltage: 0.6833333333333332 | freq: [3833340.6666666665, 3800657.6666666665]
[2026-07-09 17:41:06] Node: sta4 | alpha: 5.133e-09 | cpu_voltage: 0.6833333333333332 | freq: [4147493.6666666665, 3687921.3333333335]
