,sta0_datasz,sta2_datasz,sta1_datasz,sta3_datasz,sta4_datasz,sta5_datasz,sta6_datasz,sta7_datasz,sta8_datasz,sta10_datasz,sta9_datasz,T,host_consumption_sta4,training_time_sta4,host_consumption_sta8,training_time_sta8,host_consumption_sta0,training_time_sta0,host_consumption_sta1,training_time_sta1,host_consumption_sta10,training_time_sta10,host_consumption_sta7,training_time_sta7,host_consumption_sta3,training_time_sta3,host_consumption_sta6,training_time_sta6,host_consumption_sta2,training_time_sta2,host_consumption_sta5,training_time_sta5,host_consumption_sta9,training_time_sta9,consumption_sta4,consumption_sta8,consumption_sta10,consumption_sta2,consumption_sta9,consumption_sta6,consumption_sta0,consumption_sta5,consumption_sta3,consumption_sta7,consumption_sta1,mean_acc
0,747441792.0,1127121216.0,683362368.0,1047892992.0,436739904.0,1134796608.0,996387072.0,1025018304.0,352007616.0,748451712.0,1101267264.0,4.127506701678951e-08,109190882.0,1.0314085483551025,119479064.0,1.09159255027771,161624708.0,1.5316417217254639,154128817.0,1.4397189617156982,183906024.0,1.6585688591003418,190313050.0,1.7396862506866455,196162523.0,1.8214378356933594,196664231.0,1.812720537185669,200920690.0,1.8729522228240967,202842133.0,1.8962655067443848,209745373.0,2.097766637802124,886.5588272302288,846.5002928452293,909.6549226428717,1120.0803597506233,770.192795744031,897.159359659515,1086.5556476336756,703.9404760436142,992.9652642712217,791.2012902281189,1024.7695980297779,0.9158853400837291
1,,,,,,,,,,,,1.273028033508212e-07,77151048.0,0.712719202041626,79364482.0,0.692695140838623,164071784.0,1.5376336574554443,104559120.0,0.9738891124725342,137952650.0,1.2030715942382812,155236785.0,1.388681173324585,180097561.0,1.9718339443206787,169582452.0,1.6552746295928955,161820081.0,1.4938898086547852,164129585.0,1.5097076892852783,,,1396.8591893233092,1315.0476631515958,1432.1632644009137,1451.130964248518,1240.3050104040353,1410.7967740410206,1565.863546827372,1215.6270382270059,1255.0022653610836,1268.348398973627,1382.1969835477482,0.28510819510980084
2,,,,,,,,,,,,4.4597972884836614e-08,71061768.0,0.7518646717071533,75993885.0,0.7620422840118408,97591181.0,1.049919605255127,130104892.0,1.4668397903442383,,,154502717.0,2.0433592796325684,152166419.0,1.9428448677062988,119454833.0,1.2692244052886963,140210151.0,1.6603724956512451,155742155.0,2.0410501956939697,147982409.0,1.8892617225646973,1849.847449019464,1681.5028565927034,1699.556894231087,1828.1292181987444,1478.892283127137,1746.7278313281042,1738.85255257497,1591.9030846515197,1560.1500188359253,1585.2216012951612,1526.5940246998239,0.26805348287929187
3,,,,,,,,,,,,4.213463977293827e-08,63902363.0,0.6559121608734131,69087958.0,0.6597416400909424,152617896.0,1.6270191669464111,148283068.0,1.5552732944488525,,,137559340.0,1.3512017726898193,169204706.0,2.025242567062378,129600437.0,1.2731564044952393,158844320.0,1.726139783859253,167520323.0,1.983016014099121,153607883.0,1.6151416301727295,2260.7954138606287,1922.6995410957825,2096.373854152817,2261.557247410788,1910.4743189246449,2007.4325040026117,2126.224665644812,1796.284805884307,1821.8289565866955,1740.1068483307372,1813.4176784569004,0.2764946872537786
4,,,,,,,,,,,,4.960380107414465e-08,72604733.0,0.6681268215179443,77361741.0,0.6644113063812256,151365213.0,1.4688279628753662,100785509.0,0.9460601806640625,130039706.0,1.155747890472412,143058594.0,1.309887170791626,171589343.0,1.9177772998809814,161058426.0,1.6450815200805664,151874123.0,1.4551925659179688,175828041.0,2.084131956100464,,,2510.658174401848,2320.888373102796,2482.0023875930356,2513.6494123449684,2341.0903717141277,2370.692042014493,2388.558111057227,2065.9392545941014,1996.502587079035,2098.334241208811,2069.364071065802,0.3034344979307868
5,,,,,,,,,,,,4.056765308021797e-08,87200521.0,0.7660784721374512,86342125.0,0.7242271900177002,111119100.0,1.0078511238098145,102897014.0,0.9250714778900146,139164744.0,1.2290432453155518,173214827.0,1.9825844764709473,144697688.0,1.3154442310333252,145692071.0,1.3077962398529053,,,175096293.0,1.9991021156311035,163128061.0,1.7506632804870605,2979.6776240477484,2565.2111911238717,2780.4289800789406,2957.858055804155,2580.949413211666,2666.3427324771515,2587.098076977699,2345.8460952602113,2295.5676698529055,2460.946880083424,2301.8231211073166,0.3545909415591847
6,,,,,,,,,,,,4.098507682516523e-08,88570940.0,0.7971451282501221,92083016.0,0.7831883430480957,177179905.0,1.5810093879699707,119347106.0,1.0791492462158203,163174998.0,1.3630702495574951,171295704.0,1.4550330638885498,175593972.0,1.5354509353637695,192562496.0,1.763169288635254,191213805.0,1.744150161743164,184705582.0,1.62369704246521,191317137.0,1.7804455757141113,3380.23871802933,3093.403865308717,3405.2477854934086,3324.520254027329,3158.0646620774774,2973.8744724448575,2986.8822256069893,2605.2999620885607,2628.717916067291,2723.2667873735104,2671.603645533979,0.47963525490327313
7,,,,,,,,,,,,5.3051683936849574e-08,78396405.0,0.7383990287780762,78791608.0,0.6948506832122803,164162910.0,1.5556855201721191,162333325.0,1.5232555866241455,,,151311563.0,1.3403518199920654,181750389.0,1.9707565307617188,147021413.0,1.3125317096710205,162426159.0,1.5166747570037842,183267963.0,2.033586025238037,167888548.0,1.6321990489959717,3812.961822209504,3295.9368561467263,3682.506730795947,3736.691041481855,3416.595340761878,3177.7151142497414,3224.4525622390715,2852.5501140985525,2997.7619560338735,2958.83435934019,3012.8376853369773,0.5455336353995583
8,,,,,,,,,,,,7.963272150259559e-08,64348590.0,0.6061728000640869,79711954.0,0.707249641418457,97460627.0,0.9484364986419678,137927504.0,1.390927791595459,129953708.0,1.2643215656280518,129222814.0,1.2428243160247803,153062291.0,1.83622145652771,144013913.0,1.5756187438964844,136454668.0,1.3629286289215088,,,,,4101.143746092491,3691.8990957516435,4129.368971352049,3984.0926755774917,3851.5030083653746,3484.989089310614,3467.461267429328,3144.858767922181,3175.3120357873377,3347.021503266028,3160.627990846577,0.7164191143079237
9,,,,,,,,,,,,7.72121820711915e-08,72177427.0,0.6412639617919922,73812067.0,0.6217856407165527,141248600.0,1.4121572971343994,91263011.0,0.8363969326019287,127547220.0,1.200078010559082,155323211.0,1.891275405883789,129707614.0,1.2323212623596191,147459462.0,1.5830442905426025,,,138983287.0,1.3501415252685547,,,4606.166558413275,4073.310239009643,4442.074440286306,4472.646570628217,4293.387510959057,3819.0424948498558,3639.0238384618888,3473.604298163729,3523.613460817499,3689.9896880150104,3395.0602900094377,0.7645650492473082
