,sta0_datasz,sta10_datasz,sta2_datasz,sta3_datasz,sta4_datasz,sta5_datasz,sta6_datasz,sta7_datasz,sta8_datasz,sta1_datasz,sta9_datasz,host_consumption_sta8,training_time_sta8,host_consumption_sta10,training_time_sta10,host_consumption_sta7,training_time_sta7,consumption_sta8,consumption_sta4,consumption_sta0,consumption_sta1,consumption_sta10,consumption_sta6,consumption_sta2,consumption_sta3,consumption_sta5,consumption_sta9,consumption_sta7,mean_acc,host_consumption_sta4,training_time_sta4,host_consumption_sta6,training_time_sta6,host_consumption_sta9,training_time_sta9,host_consumption_sta3,training_time_sta3,host_consumption_sta5,training_time_sta5
0,747088320.0,748350720.0,1128383616.0,1047438528.0,436285440.0,1135301568.0,995528640.0,1026684672.0,352361088.0,684321792.0,1102428672.0,153072118,3.6574008464813232,272553379.0,6.955475568771362,465357390,13.894575119018555,1305.4574948134727,1467.384398981218,1780.5561553537377,1759.8100017877605,1262.0862446688113,1475.384420250126,1834.5805244477692,1454.6852972463382,1478.1312741037748,1389.8960645151678,1069.879488106129,0.32552700134163554,,,,,,,,,,
1,,,,,,,,,,,,263060728,3.790134906768799,486748327.0,7.80163049697876,714868470,13.191838264465332,2094.805987017039,2411.591287964115,2549.5705233169933,2588.7648886736456,1835.858692268064,2181.474383995133,2719.3080670574327,2263.1425883930046,2245.8854548598038,2268.2621796423814,1591.979634563757,0.8523959029804576,291667527.0,4.258875608444214,643839905.0,11.15386176109314,660361529.0,11.57792615890503,707464437.0,12.900219917297363,714769289.0,13.150301694869995
2,,,,,,,,,,,,179072601,3.5543596744537354,339644455.0,7.1590492725372314,527261650,12.657233953475952,2743.2123900701145,3041.7809953559736,3520.0170082233044,3362.981656796093,2683.0213144205068,2694.990831635542,3471.2147919675035,2750.2528009545813,2734.909524995869,2951.0049909201816,2008.849523428209,0.9230326630852439,,,460591960.0,10.42749309539795,,,,,519349318.0,12.320103883743286
3,,,,,,,,,,,,203154754,3.6825191974639893,385012869.0,7.489363193511963,585785671,13.021248817443848,3440.88066623301,3779.9309700581834,4382.223105346184,4315.9786747686,3372.6134743635535,3272.8279655046326,4485.754401472917,3302.5524785516463,3326.377962894928,3581.9723214701266,2532.0058786842797,0.9419169642708518,,,510497961.0,10.627186059951782,,,567657360.0,12.307706594467163,576887562.0,12.646041631698608
4,,,,,,,,,,,,227340421,3.743516683578491,446906632.0,7.747870922088623,672404833,13.276050090789795,4048.936203568939,4361.4035988374635,5346.077395884284,5245.72450158515,4216.167579428213,3715.320506447738,5390.863098740225,3782.522905879457,3753.0499992852892,4375.227652380063,2932.7201927960846,0.9554788903756575,,,597441464.0,10.942480564117432,606485508.0,11.16352391242981,646026117.0,12.308075189590454,665495977.0,12.965782880783081
5,,,,,,,,,,,,198303814,3.6790661811828613,492852498.0,10.295376062393188,581497230,12.963175535202026,4603.574329144585,5094.8391314311075,6062.058440698954,5901.331081360678,4793.07211728872,4322.781203408684,6146.2205799430185,4254.372257557816,4325.8815563265925,4917.142265271307,3467.123172052722,0.9642637805505232,,,506797897.0,10.625754833221436,,,562930566.0,12.283369779586792,572595031.0,12.6006760597229
6,,,,,,,,,,,,201486545,3.7066538333892822,380925173.0,7.43542742729187,583924714,13.017629384994507,5392.750537316091,5674.6641821032845,6976.429785140445,6760.929161989426,5576.6049378454645,4854.310346025202,6944.62094963235,4665.805668631255,4800.3833645340155,5629.012100228673,3928.3811256499966,0.9691812666979703,,,507488874.0,10.629821538925171,,,563490318.0,12.25350308418274,574199824.0,12.602107286453247
7,,,,,,,,,,,,189376163,4.269087553024292,,,513765836,12.839568138122559,5901.677642741592,6435.063200504223,7703.508381044312,7450.525265292698,6147.096021754906,5332.418408590959,7693.287154620226,5179.804576421367,5360.103706794521,6241.696226145711,4343.584401942737,0.9713310436768965,,,436667766.0,10.470098972320557,,,500324342.0,12.351677894592285,505183216.0,12.505687713623047
8,,,,,,,,,,,,201849581,3.6733133792877197,384093438.0,7.462881565093994,588641376,13.035589933395386,6621.81533920936,6985.4075300122095,8587.148331693203,8265.326186275932,6932.177435810099,5911.502081860851,8478.56868953771,5668.907548782653,5798.703965974889,7075.9501370903445,4845.192004267117,0.9760731350291859,,,512737029.0,10.63070034980774,,,566689772.0,12.23317813873291,577952255.0,12.588382720947266
9,,,,,,,,,,,,190246522,4.303271532058716,,,508017560,12.712165594100952,7139.1761191511605,7520.5834454912165,9245.81997112348,9005.134347765716,7513.514264268162,6367.063593574673,9352.550141530899,6196.701213813158,6213.292274080324,7656.246375249443,5258.503018540019,0.9769405614246022,,,436457928.0,10.484621047973633,,,499436893.0,12.35974407196045,500993286.0,12.415091037750244
10,,,,,,,,,,,,188937565,4.252699136734009,,,512779938,12.827750444412231,7647.881092252512,8203.412923855869,9848.255907745566,9740.748094220999,8098.056524676731,6944.826988806093,10112.381113398325,6686.298151249259,6718.514208288399,8242.063287339923,5763.622858654968,0.9784484884955666,,,437938699.0,10.491613388061523,,,501839108.0,12.373059511184692,502923273.0,12.410165309906006
