[2026-07-02 14:19:47] Node: sta0 | alpha: 5.128e-09 | cpu_voltage: 0.69 | freq: [1909427.0, 1999536.0]
[2026-07-02 14:19:47] Node: sta1 | alpha: 5.06e-09 | cpu_voltage: 0.7 | freq: [1796589.0, 1680958.0]
[2026-07-02 14:19:48] Node: sta2 | alpha: 5.08e-09 | cpu_voltage: 0.7066666666666667 | freq: [3572695.0, 2508877.0]
[2026-07-02 14:19:48] Node: sta3 | alpha: 5.185e-09 | cpu_voltage: 0.7066666666666667 | freq: [2109750.0, 2376872.0]
[2026-07-02 14:19:48] Node: sta4 | alpha: 5.133e-09 | cpu_voltage: 0.6999999999999998 | freq: [3555445.0, 3118369.0]
[2026-07-02 14:19:49] Node: sta5 | alpha: 5.119e-09 | cpu_voltage: 0.6999999999999998 | freq: [2388841.0, 2177059.0]
[2026-07-02 14:19:49] Node: sta6 | alpha: 5.095e-09 | cpu_voltage: 0.7066666666666667 | freq: [2700000.0, 2618095.0]
[2026-07-02 14:19:49] Node: sta7 | alpha: 5.056e-09 | cpu_voltage: 0.7066666666666667 | freq: [2000000.0, 2000440.0]
[2026-07-02 14:19:50] Node: sta8 | alpha: 4.879e-09 | cpu_voltage: 0.6966666666666667 | freq: [2953535.0, 1512931.0]
[2026-07-02 14:19:50] Node: sta9 | alpha: 4.795e-09 | cpu_voltage: 0.69 | freq: [3879433.0, 3463399.0]
[2026-07-02 14:19:50] Node: sta10 | alpha: 4.912e-09 | cpu_voltage: 0.69 | freq: [3801079.0, 3731865.0]
[2026-07-02 14:19:51] Node: sta0 | alpha: 5.128e-09 | cpu_voltage: 0.69 | freq: [1954713.5, 2000516.5]
[2026-07-02 14:19:51] Node: sta1 | alpha: 5.06e-09 | cpu_voltage: 0.6999999999999998 | freq: [1769767.5, 1691413.0]
[2026-07-02 14:19:51] Node: sta2 | alpha: 5.08e-09 | cpu_voltage: 0.7066666666666667 | freq: [3507952.0, 2788453.0]
[2026-07-02 14:19:52] Node: sta3 | alpha: 5.185e-09 | cpu_voltage: 0.7133333333333333 | freq: [2187269.5, 2304609.0]
[2026-07-02 14:19:52] Node: sta4 | alpha: 5.133e-09 | cpu_voltage: 0.7033333333333333 | freq: [3583635.0, 3359756.5]
[2026-07-02 14:19:52] Node: sta5 | alpha: 5.119e-09 | cpu_voltage: 0.6966666666666667 | freq: [2271908.5, 2273791.0]
[2026-07-02 14:19:53] Node: sta6 | alpha: 5.095e-09 | cpu_voltage: 0.69 | freq: [2700000.0, 2366356.0]
[2026-07-02 14:19:53] Node: sta7 | alpha: 5.056e-09 | cpu_voltage: 0.6966666666666667 | freq: [1961962.0, 2289516.5]
[2026-07-02 14:19:53] Node: sta8 | alpha: 4.879e-09 | cpu_voltage: 0.7033333333333333 | freq: [3050544.0, 2618782.5]
[2026-07-02 14:19:54] Node: sta9 | alpha: 4.795e-09 | cpu_voltage: 0.71 | freq: [3708545.0, 3632285.5]
[2026-07-02 14:19:54] Node: sta10 | alpha: 4.912e-09 | cpu_voltage: 0.71 | freq: [3866606.0, 3827379.0]
[2026-07-02 14:19:54] Node: sta0 | alpha: 5.128e-09 | cpu_voltage: 0.71 | freq: [1969815.6666666667, 2044632.6666666667]
[2026-07-02 14:19:55] Node: sta1 | alpha: 5.06e-09 | cpu_voltage: 0.71 | freq: [1779857.0, 2005274.6666666667]
