[2026-07-01 15:42:22] Node: sta0 | alpha: 5.128e-09 | cpu_voltage: 0.68 | freq: [4598978.0, 2688592.0]
[2026-07-01 15:42:22] Node: sta1 | alpha: 5.06e-09 | cpu_voltage: 0.68 | freq: [4599945.0, 4608234.0]
[2026-07-01 15:42:22] Node: sta2 | alpha: 5.08e-09 | cpu_voltage: 0.6833333333333332 | freq: [4279306.0, 4596962.0]
[2026-07-01 15:42:22] Node: sta3 | alpha: 5.185e-09 | cpu_voltage: 0.6833333333333332 | freq: [4600058.0, 4605867.0]
[2026-07-01 15:42:23] Node: sta4 | alpha: 5.133e-09 | cpu_voltage: 0.7999999999999999 | freq: [4600000.0, 4574450.0]
[2026-07-01 15:42:23] Node: sta5 | alpha: 5.119e-09 | cpu_voltage: 0.7966666666666667 | freq: [4572512.0, 2451033.0]
[2026-07-01 15:42:23] Node: sta6 | alpha: 5.095e-09 | cpu_voltage: 0.9133333333333334 | freq: [4547673.0, 4160403.0]
[2026-07-01 15:42:23] Node: sta7 | alpha: 5.056e-09 | cpu_voltage: 0.7966666666666667 | freq: [4562652.0, 4596442.0]
[2026-07-01 15:42:24] Node: sta8 | alpha: 4.879e-09 | cpu_voltage: 0.9133333333333334 | freq: [4601922.0, 4602354.0]
[2026-07-01 15:42:24] Node: sta9 | alpha: 4.795e-09 | cpu_voltage: 0.7966666666666667 | freq: [4601319.0, 2100879.0]
[2026-07-01 15:42:24] Node: sta10 | alpha: 4.912e-09 | cpu_voltage: 0.9133333333333334 | freq: [4601422.0, 4602330.0]
[2026-07-01 15:42:25] Node: sta0 | alpha: 5.128e-09 | cpu_voltage: 0.9133333333333334 | freq: [4352827.0, 3644997.5]
[2026-07-01 15:42:25] Node: sta1 | alpha: 5.06e-09 | cpu_voltage: 1.03 | freq: [4563255.0, 4604907.5]
[2026-07-01 15:42:25] Node: sta2 | alpha: 5.08e-09 | cpu_voltage: 1.03 | freq: [4439653.0, 4600774.0]
[2026-07-01 15:42:25] Node: sta3 | alpha: 5.185e-09 | cpu_voltage: 1.03 | freq: [4592511.0, 4603161.5]
[2026-07-01 15:42:26] Node: sta4 | alpha: 5.133e-09 | cpu_voltage: 0.9133333333333334 | freq: [4476639.0, 4585874.0]
[2026-07-01 15:42:26] Node: sta5 | alpha: 5.119e-09 | cpu_voltage: 0.9133333333333334 | freq: [4586283.0, 3457143.5]
[2026-07-01 15:42:26] Node: sta6 | alpha: 5.095e-09 | cpu_voltage: 0.9133333333333334 | freq: [4540565.0, 4186699.0]
[2026-07-01 15:42:26] Node: sta7 | alpha: 5.056e-09 | cpu_voltage: 1.03 | freq: [4581326.0, 4598998.0]
[2026-07-01 15:42:27] Node: sta8 | alpha: 4.879e-09 | cpu_voltage: 1.03 | freq: [4601733.0, 4601626.0]
